,MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,filename,RelativeTime,poke_int,Errors
36,2020-06-09 17:14:06,0,4.17,0,1,Poke,Left,14,9,14,NaN,FED3.CSV,0 days 01:35:26,0 days 00:01:50,1.0
37,2020-06-09 17:57:36,0,4.17,0,1,Poke,Left,15,9,14,NaN,FED3.CSV,0 days 02:18:56,0 days 00:43:30,0.0
38,2020-06-09 17:57:40,0,4.18,1,1,Pellet,Left,15,9,15,NaN,FED3.CSV,0 days 02:19:00,0 days 00:00:04,0.0
39,2020-06-09 17:57:59,0,4.17,0,1,Poke,Left,16,9,15,NaN,FED3.CSV,0 days 02:19:19,0 days 00:00:19,0.0
40,2020-06-09 17:58:08,0,4.18,2,1,Pellet,Left,16,9,16,NaN,FED3.CSV,0 days 02:19:28,0 days 00:00:09,0.0
41,2020-06-09 17:58:25,0,4.17,0,1,Poke,Left,17,9,16,NaN,FED3.CSV,0 days 02:19:45,0 days 00:00:17,0.0
42,2020-06-09 17:58:29,0,4.18,1,1,Pellet,Left,17,9,17,NaN,FED3.CSV,0 days 02:19:49,0 days 00:00:04,0.0
43,2020-06-09 17:59:03,0,4.17,0,1,Poke,Left,18,9,17,NaN,FED3.CSV,0 days 02:20:23,0 days 00:00:34,0.0
44,2020-06-09 17:59:07,0,4.18,1,1,Poke,Left,18,9,18,NaN,FED3.CSV,0 days 02:20:27,0 days 00:00:04,0.0
45,2020-06-09 17:59:22,0,4.17,0,1,Poke,Left,19,9,18,NaN,FED3.CSV,0 days 02:20:42,0 days 00:00:15,0.0
46,2020-06-09 17:59:25,0,4.18,1,1,Poke,Left,19,9,19,NaN,FED3.CSV,0 days 02:20:45,0 days 00:00:03,0.0
47,2020-06-09 17:59:50,0,4.17,0,1,Poke,Left,20,9,19,NaN,FED3.CSV,0 days 02:21:10,0 days 00:00:25,0.0
48,2020-06-09 17:59:54,0,4.18,1,1,Poke,Left,20,9,20,NaN,FED3.CSV,0 days 02:21:14,0 days 00:00:04,0.0
49,2020-06-09 18:00:07,0,4.16,0,1,Poke,Left,21,9,20,NaN,FED3.CSV,0 days 02:21:27,0 days 00:00:13,0.0
50,2020-06-09 18:00:10,0,4.18,1,1,Pellet,Left,21,9,21,NaN,FED3.CSV,0 days 02:21:30,0 days 00:00:03,0.0
51,2020-06-09 18:00:23,0,4.17,0,1,Poke,Left,22,9,21,NaN,FED3.CSV,0 days 02:21:43,0 days 00:00:13,0.0
52,2020-06-09 18:00:29,0,4.18,2,1,Pellet,Left,22,9,22,NaN,FED3.CSV,0 days 02:21:49,0 days 00:00:06,0.0
53,2020-06-09 18:13:58,0,4.17,0,1,Poke,Left,23,9,22,NaN,FED3.CSV,0 days 02:35:18,0 days 00:13:29,0.0
54,2020-06-09 18:14:03,0,4.18,1,1,Pellet,Left,23,9,23,NaN,FED3.CSV,0 days 02:35:23,0 days 00:00:05,0.0
55,2020-06-09 18:49:08,0,4.16,0,1,Poke,Left,24,9,23,NaN,FED3.CSV,0 days 03:10:28,0 days 00:35:05,0.0
56,2020-06-09 18:49:12,0,4.16,1,1,Pellet,Left,24,9,24,NaN,FED3.CSV,0 days 03:10:32,0 days 00:00:04,0.0
57,2020-06-09 18:49:32,0,4.16,0,1,Poke,Left,25,9,24,NaN,FED3.CSV,0 days 03:10:52,0 days 00:00:20,0.0
58,2020-06-09 18:49:36,0,4.17,1,1,Pellet,Left,25,9,25,NaN,FED3.CSV,0 days 03:10:56,0 days 00:00:04,0.0
59,2020-06-09 18:49:45,0,4.16,0,1,Poke,Left,26,9,25,NaN,FED3.CSV,0 days 03:11:05,0 days 00:00:09,0.0
60,2020-06-09 18:49:50,0,4.17,1,1,Pellet,Left,26,9,26,NaN,FED3.CSV,0 days 03:11:10,0 days 00:00:05,0.0
61,2020-06-09 18:52:10,0,4.16,0,1,Poke,Left,26,10,26,NaN,FED3.CSV,0 days 03:13:30,0 days 00:02:20,1.0
62,2020-06-09 18:52:12,0,4.16,0,1,Poke,Left,27,10,26,NaN,FED3.CSV,0 days 03:13:32,0 days 00:00:02,0.0
63,2020-06-09 18:52:16,0,4.17,1,1,Pellet,Left,27,10,27,NaN,FED3.CSV,0 days 03:13:36,0 days 00:00:04,0.0
64,2020-06-09 18:52:38,0,4.16,0,1,Poke,Left,27,11,27,NaN,FED3.CSV,0 days 03:13:58,0 days 00:00:22,1.0
65,2020-06-09 18:52:39,0,4.16,0,1,Poke,Left,28,11,27,NaN,FED3.CSV,0 days 03:13:59,0 days 00:00:01,0.0
66,2020-06-09 18:52:48,0,4.17,2,1,Pellet,Left,28,11,28,NaN,FED3.CSV,0 days 03:14:08,0 days 00:00:09,0.0
67,2020-06-09 19:00:26,0,4.16,0,1,Poke,Left,29,11,28,NaN,FED3.CSV,0 days 03:21:46,0 days 00:07:38,0.0
68,2020-06-09 19:00:30,0,4.17,1,1,Pellet,Left,29,11,29,NaN,FED3.CSV,0 days 03:21:50,0 days 00:00:04,0.0
69,2020-06-09 19:06:47,0,4.16,0,1,Poke,Left,29,12,29,NaN,FED3.CSV,0 days 03:28:07,0 days 00:06:17,1.0
70,2020-06-09 19:06:52,0,4.16,0,1,Poke,Left,30,12,29,NaN,FED3.CSV,0 days 03:28:12,0 days 00:00:05,0.0
71,2020-06-09 19:06:56,0,4.16,1,1,Pellet,Left,30,12,30,NaN,FED3.CSV,0 days 03:28:16,0 days 00:00:04,0.0
72,2020-06-09 19:07:19,0,4.16,0,1,Poke,Left,31,12,30,NaN,FED3.CSV,0 days 03:28:39,0 days 00:00:23,0.0
73,2020-06-09 19:07:30,0,4.17,4,1,Pellet,Left,31,12,31,NaN,FED3.CSV,0 days 03:28:50,0 days 00:00:11,0.0
74,2020-06-09 19:08:28,0,4.16,0,1,Poke,Left,32,12,31,NaN,FED3.CSV,0 days 03:29:48,0 days 00:00:58,0.0
75,2020-06-09 19:08:33,0,4.17,1,1,Pellet,Left,32,12,32,NaN,FED3.CSV,0 days 03:29:53,0 days 00:00:05,0.0
76,2020-06-09 19:08:44,0,4.16,0,1,Poke,Left,33,12,32,NaN,FED3.CSV,0 days 03:30:04,0 days 00:00:11,0.0
77,2020-06-09 19:08:48,0,4.17,1,1,Pellet,Left,33,12,33,NaN,FED3.CSV,0 days 03:30:08,0 days 00:00:04,0.0
78,2020-06-09 19:09:02,0,4.15,0,1,Poke,Left,34,12,33,NaN,FED3.CSV,0 days 03:30:22,0 days 00:00:14,0.0
79,2020-06-09 19:09:06,0,4.16,1,1,Pellet,Left,34,12,34,NaN,FED3.CSV,0 days 03:30:26,0 days 00:00:04,0.0
80,2020-06-09 19:09:47,0,4.16,0,1,Poke,Left,34,13,34,NaN,FED3.CSV,0 days 03:31:07,0 days 00:00:41,1.0
81,2020-06-09 19:16:43,0,4.16,0,1,Poke,Left,34,14,34,NaN,FED3.CSV,0 days 03:38:03,0 days 00:06:56,1.0
82,2020-06-09 19:16:47,0,4.15,0,1,Poke,Left,34,15,34,NaN,FED3.CSV,0 days 03:38:07,0 days 00:00:04,1.0
83,2020-06-09 19:18:52,0,4.15,0,1,Poke,Left,34,16,34,NaN,FED3.CSV,0 days 03:40:12,0 days 00:02:05,1.0
84,2020-06-09 19:18:55,0,4.16,0,1,Poke,Left,35,16,34,NaN,FED3.CSV,0 days 03:40:15,0 days 00:00:03,0.0
85,2020-06-09 19:18:59,0,4.16,1,1,Pellet,Left,35,16,35,NaN,FED3.CSV,0 days 03:40:19,0 days 00:00:04,0.0
86,2020-06-09 19:19:07,0,4.16,0,1,Poke,Left,36,16,35,NaN,FED3.CSV,0 days 03:40:27,0 days 00:00:08,0.0
87,2020-06-09 19:19:30,0,4.16,1,1,Pellet,Left,36,16,36,NaN,FED3.CSV,0 days 03:40:50,0 days 00:00:23,0.0
88,2020-06-09 19:22:48,0,4.15,0,1,Poke,Left,37,16,36,NaN,FED3.CSV,0 days 03:44:08,0 days 00:03:18,0.0
89,2020-06-09 19:23:03,0,4.18,1,1,Pellet,Left,37,16,37,NaN,FED3.CSV,0 days 03:44:23,0 days 00:00:15,0.0
90,2020-06-09 19:31:48,0,4.15,0,1,Poke,Left,38,16,37,NaN,FED3.CSV,0 days 03:53:08,0 days 00:08:45,0.0
91,2020-06-09 19:31:52,0,4.16,1,1,Pellet,Left,38,16,38,NaN,FED3.CSV,0 days 03:53:12,0 days 00:00:04,0.0
92,2020-06-09 19:40:17,0,4.14,0,1,Poke,Left,38,17,38,NaN,FED3.CSV,0 days 04:01:37,0 days 00:08:25,1.0
93,2020-06-09 19:43:22,0,4.15,0,1,Poke,Left,39,17,38,NaN,FED3.CSV,0 days 04:04:42,0 days 00:03:05,0.0
94,2020-06-09 19:43:37,0,4.16,8,1,Poke,Left,40,17,38,NaN,FED3.CSV,0 days 04:04:57,0 days 00:00:15,0.0
95,2020-06-09 19:43:41,0,4.16,1,1,Pellet,Left,40,17,39,NaN,FED3.CSV,0 days 04:05:01,0 days 00:00:04,0.0
96,2020-06-09 19:53:52,0,4.15,0,1,Poke,Left,41,17,39,NaN,FED3.CSV,0 days 04:15:12,0 days 00:10:11,0.0
97,2020-06-09 19:53:56,0,4.16,1,1,Pellet,Left,41,17,40,NaN,FED3.CSV,0 days 04:15:16,0 days 00:00:04,0.0
98,2020-06-09 19:53:59,0,4.14,0,1,Poke,Left,42,17,40,NaN,FED3.CSV,0 days 04:15:19,0 days 00:00:03,0.0
99,2020-06-09 19:54:05,0,4.16,2,1,Pellet,Left,42,17,41,NaN,FED3.CSV,0 days 04:15:25,0 days 00:00:06,0.0
100,2020-06-09 19:59:15,0,4.15,0,1,Poke,Left,42,18,41,NaN,FED3.CSV,0 days 04:20:35,0 days 00:05:10,1.0
101,2020-06-09 20:11:13,0,4.14,0,1,Poke,Left,42,19,41,NaN,FED3.CSV,0 days 04:32:33,0 days 00:11:58,1.0
102,2020-06-09 20:11:16,0,4.15,0,1,Poke,Left,42,20,41,NaN,FED3.CSV,0 days 04:32:36,0 days 00:00:03,1.0
103,2020-06-09 20:34:33,0,4.14,0,1,Poke,Left,43,20,41,NaN,FED3.CSV,0 days 04:55:53,0 days 00:23:17,0.0
104,2020-06-09 20:34:37,0,4.16,1,1,Pellet,Left,43,20,42,NaN,FED3.CSV,0 days 04:55:57,0 days 00:00:04,0.0
105,2020-06-09 20:34:59,0,4.14,0,1,Poke,Left,44,20,42,NaN,FED3.CSV,0 days 04:56:19,0 days 00:00:22,0.0
