MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/17/2019 17:09:55,0,0.01,1,1,Left,1,1,1,27
6/18/2019 1:18:22,0,0.01,1,1,Left,2,1,2,13
6/18/2019 1:20:06,0,0.01,1,1,Left,3,5,3,13
6/18/2019 1:21:39,0,0.01,1,1,Left,4,5,4,2
6/18/2019 1:22:46,0,0.01,1,1,Left,5,5,5,24
6/18/2019 1:24:04,0,0.01,2,1,Left,6,5,6,12
6/18/2019 1:25:49,0,0.01,1,1,Left,7,5,7,24
6/18/2019 1:29:43,0,0.01,1,1,Left,8,5,8,7
6/18/2019 1:31:16,0,0.01,1,1,Left,9,6,9,17
6/18/2019 1:32:33,0,0.01,1,1,Left,10,6,10,30
6/18/2019 1:33:21,0,0.01,1,1,Left,11,6,11,13
6/18/2019 1:35:27,0,0.01,1,1,Left,12,6,12,94
6/18/2019 1:39:24,0,0.01,1,1,Left,13,8,13,2
6/18/2019 2:51:10,0,0.01,1,1,Left,14,8,14,148
6/18/2019 2:54:12,0,0.01,1,1,Left,15,8,15,99
6/18/2019 2:57:10,0,0.01,1,1,Left,16,8,16,2
6/18/2019 3:11:32,0,0.01,1,1,Left,17,10,17,34
6/18/2019 3:15:25,0,0.01,1,1,Left,18,10,18,62
6/18/2019 3:18:53,0,0.01,1,1,Left,19,14,19,69
6/18/2019 3:22:58,0,0.01,1,1,Left,20,14,20,14
6/18/2019 3:24:02,0,0.01,1,1,Left,21,14,21,12
6/18/2019 3:28:52,0,0.01,1,1,Left,22,14,22,17
6/18/2019 3:31:47,0,0.01,1,1,Left,23,14,23,117
6/18/2019 3:35:27,0,0.01,1,1,Left,24,14,24,17
6/18/2019 4:08:39,0,0.01,3,1,Left,25,15,25,66
6/18/2019 4:28:55,0,0.01,1,1,Left,26,15,26,411
6/18/2019 5:36:25,0,0.01,1,1,Left,27,18,27,2
6/18/2019 6:06:40,0,0.01,1,1,Left,28,21,28,2
6/18/2019 6:10:36,0,0.01,1,1,Left,29,21,29,32
6/18/2019 6:23:41,0,0.01,1,1,Left,30,24,30,7
6/18/2019 6:39:49,0,0.01,1,1,Left,31,25,31,3
6/18/2019 6:40:40,0,0.01,1,1,Left,32,25,32,1
6/18/2019 6:41:19,0,0.01,1,1,Left,33,25,33,15
6/18/2019 6:41:53,0,0.01,1,1,Left,34,25,34,2
6/18/2019 6:42:30,0,0.01,1,1,Left,35,25,35,6
6/18/2019 6:43:23,0,0.01,1,1,Left,36,25,36,11
6/18/2019 6:50:07,0,0.01,1,1,Left,37,30,37,3
6/18/2019 8:51:41,0,0.01,1,1,Left,38,30,38,5
6/18/2019 8:54:16,0,0.01,1,1,Left,39,30,39,2
6/18/2019 8:54:43,0,0.01,2,1,Left,40,30,40,10
6/18/2019 8:56:52,0,0.01,1,1,Left,41,30,41,9
6/18/2019 8:57:14,0,0.01,1,1,Left,42,30,42,6
6/18/2019 8:57:31,0,0.01,1,1,Left,43,30,43,2
6/18/2019 8:59:27,0,0.01,2,1,Left,44,30,44,14
6/18/2019 9:00:26,0,0.01,1,1,Left,45,30,45,38
6/18/2019 9:03:48,0,0.01,1,1,Left,46,31,46,3
6/18/2019 9:04:48,0,0.01,1,1,Left,47,31,47,45
6/18/2019 11:38:08,0,0.01,1,1,Left,48,31,48,2
