MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
10/11/2019,16:24:46,8,4.18,1,1,Left,1,0,1,4
10/11/2019,16:26:18,8,4.17,1,1,Left,2,2,2,5
10/11/2019,16:26:39,8,4.17,2,1,Left,3,2,3,2
10/11/2019,16:26:54,8,4.18,1,1,Left,4,2,4,1
10/11/2019,16:27:15,8,4.18,2,1,Left,5,2,5,4
10/11/2019,16:27:47,8,4.17,2,1,Left,6,2,6,5
10/11/2019,16:28:22,8,4.18,2,1,Left,7,2,7,3
10/11/2019,16:28:57,8,4.17,2,1,Left,8,3,8,4
10/11/2019,16:29:32,8,4.17,1,1,Left,9,3,9,1
10/11/2019,16:30:36,8,4.17,1,1,Left,10,4,10,8
10/11/2019,16:30:55,8,4.18,2,1,Left,11,4,11,2
10/11/2019,16:31:20,8,4.18,1,1,Left,12,4,12,2
10/11/2019,16:31:30,8,4.18,2,1,Left,13,4,13,2
10/11/2019,16:31:46,8,4.18,1,1,Left,14,4,14,2
10/11/2019,16:35:36,8,4.18,1,1,Left,15,4,15,13
10/11/2019,16:38:31,8,4.18,1,1,Left,16,9,16,81
10/11/2019,16:40:02,8,4.18,2,1,Left,17,9,17,10
10/11/2019,16:46:12,8,4.18,1,1,Left,18,11,18,7
10/11/2019,16:52:19,8,4.19,1,1,Left,19,11,19,12
10/11/2019,16:59:10,8,4.19,1,1,Left,20,11,20,401
10/11/2019,17:07:13,8,4.19,2,1,Left,21,11,21,10
10/11/2019,17:11:50,8,4.19,1,1,Left,22,11,22,59
10/11/2019,17:16:23,8,4.2,1,1,Left,23,13,23,16
10/11/2019,17:26:37,8,4.2,2,1,Left,24,13,24,2
10/11/2019,17:27:03,8,4.2,4,1,Left,25,13,25,2
10/11/2019,17:27:23,8,4.2,1,1,Left,26,13,26,4
10/11/2019,17:27:31,8,4.21,1,1,Left,27,13,27,2
10/11/2019,17:28:12,8,4.21,1,1,Left,28,13,28,23
10/11/2019,17:28:24,8,4.21,1,1,Left,29,13,29,5
10/11/2019,17:45:02,8,4.21,1,1,Left,30,27,30,5
10/11/2019,18:08:34,8,4.22,1,1,Left,31,27,31,301
10/11/2019,18:12:04,8,4.22,1,1,Left,32,28,32,4
10/11/2019,18:14:58,8,4.22,1,1,Left,33,32,33,5
10/11/2019,18:15:58,8,4.22,2,1,Left,34,32,34,1
10/11/2019,18:34:14,8,4.23,1,1,Left,35,32,35,130
10/11/2019,18:34:30,8,4.22,1,1,Left,36,32,36,2
10/11/2019,18:34:44,8,4.22,2,1,Left,37,32,37,3
10/11/2019,18:35:34,8,4.22,2,1,Left,38,32,38,24
10/11/2019,18:41:08,8,4.22,2,1,Left,39,32,39,6
10/11/2019,18:44:08,8,4.23,2,1,Left,40,32,40,2
10/11/2019,18:46:54,8,4.22,1,1,Left,41,32,41,12
10/11/2019,18:48:16,8,4.22,1,1,Left,42,32,42,3
10/11/2019,18:48:23,8,4.22,1,1,Left,43,32,43,2
10/11/2019,18:54:04,8,4.22,1,1,Left,44,32,44,2
10/11/2019,19:24:01,8,4.22,1,1,Left,45,32,45,6
10/11/2019,21:06:44,8,4.22,1,1,Left,46,32,46,2
10/11/2019,21:06:56,8,4.22,1,1,Left,47,32,47,2
10/11/2019,21:08:07,8,4.22,1,1,Left,48,36,48,5
10/11/2019,21:08:47,8,4.23,1,1,Left,49,38,49,16
10/11/2019,21:15:27,8,4.22,1,1,Left,50,39,50,3
10/11/2019,21:16:06,8,4.22,1,1,Left,51,39,51,2
10/11/2019,21:17:14,8,4.23,1,1,Left,52,39,52,8
10/11/2019,21:23:50,8,4.22,1,1,Left,53,39,53,114
10/11/2019,21:44:36,8,4.23,1,1,Left,54,39,54,592
10/11/2019,22:48:18,8,4.22,1,1,Left,55,39,55,4
10/11/2019,22:50:02,8,4.22,1,1,Left,56,39,56,2
10/12/2019,1:54:37,8,4.21,1,1,Left,57,39,57,2
10/12/2019,1:56:29,8,4.21,1,1,Left,58,39,58,39
10/12/2019,2:03:06,8,4.21,1,1,Left,59,40,59,2
10/12/2019,2:04:43,8,4.21,2,1,Left,60,40,60,2
10/12/2019,2:10:37,8,4.2,1,1,Left,61,41,61,2
10/12/2019,2:12:31,8,4.21,2,1,Left,62,44,62,2
10/12/2019,4:45:40,8,4.2,1,1,Left,63,45,63,2
10/12/2019,7:12:39,8,4.2,2,1,Left,64,45,64,26
10/12/2019,7:15:07,8,4.2,2,1,Left,65,45,65,25
10/12/2019,9:24:18,8,4.19,1,1,Left,66,45,66,24
10/12/2019,9:24:56,8,4.2,2,1,Left,67,45,67,5
10/12/2019,10:07:44,8,4.19,1,1,Left,68,45,68,3
