MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
10/8/2019,8:30:26,4,3.93,1,1,Left,1,0,1,2
10/8/2019,8:31:11,4,3.92,1,1,Left,2,0,2,12
10/8/2019,8:31:44,4,3.93,1,1,Left,3,0,3,15
10/8/2019,8:41:35,4,3.92,1,1,Left,4,0,4,79
10/8/2019,8:43:47,4,3.92,1,1,Left,5,1,5,48
10/8/2019,8:43:55,4,3.93,1,1,Left,6,1,6,2
10/8/2019,8:44:48,4,3.93,1,1,Left,7,1,7,2
10/8/2019,8:45:33,4,3.92,1,1,Left,8,1,8,4
10/8/2019,8:46:28,4,3.92,1,1,Left,9,1,9,3
10/8/2019,8:47:05,4,3.92,1,1,Left,10,1,10,2
10/8/2019,8:49:24,4,3.92,1,1,Left,11,1,11,2
10/8/2019,9:00:15,4,3.92,1,1,Left,12,1,12,259
10/8/2019,9:01:00,4,3.92,1,1,Left,13,2,13,1
10/8/2019,10:31:15,4,3.91,2,1,Left,14,2,14,30
10/8/2019,10:32:36,4,3.91,4,1,Left,15,4,15,11
10/8/2019,10:35:18,4,3.90,1,1,Left,16,5,16,2
10/8/2019,11:31:18,4,3.90,2,1,Left,17,7,17,19
10/8/2019,11:32:43,4,3.90,2,1,Left,18,7,18,16
10/8/2019,11:33:35,4,3.90,1,1,Left,19,7,19,3
10/8/2019,11:44:40,4,3.90,1,1,Left,20,7,20,13
10/8/2019,11:45:12,4,3.90,1,1,Left,21,7,21,2
10/8/2019,11:48:13,4,3.90,1,1,Left,22,7,22,159
10/8/2019,11:50:17,4,3.90,1,1,Left,23,7,23,13
10/8/2019,12:44:43,4,3.89,1,1,Left,24,8,24,1660
10/8/2019,12:45:18,4,3.89,1,1,Left,25,8,25,2
10/8/2019,12:45:51,4,3.89,2,1,Left,26,8,26,2
10/8/2019,13:02:34,4,3.89,1,1,Left,27,8,27,1
10/8/2019,13:19:11,4,3.89,1,1,Left,28,8,28,104
10/8/2019,13:22:04,4,3.89,2,1,Left,29,8,29,20
10/8/2019,13:22:35,4,3.89,1,1,Left,30,8,30,1
10/8/2019,13:24:28,4,3.89,1,1,Left,31,8,31,81
10/8/2019,13:26:10,4,3.89,1,1,Left,32,9,32,73
10/8/2019,14:19:06,4,3.89,2,1,Left,33,9,33,19
10/8/2019,14:21:07,4,3.89,1,1,Left,34,9,34,66
10/8/2019,14:26:08,4,3.89,1,1,Left,35,9,35,1
10/8/2019,14:29:34,4,3.89,1,1,Left,36,10,36,2
10/8/2019,14:44:54,4,3.89,1,1,Left,37,11,37,1
10/8/2019,15:21:00,4,3.89,1,1,Left,38,11,38,1954
10/8/2019,15:28:56,4,3.88,1,1,Left,39,12,39,377
10/8/2019,16:29:59,4,3.88,1,1,Left,40,12,40,2
10/8/2019,16:31:35,4,3.87,2,1,Left,41,12,41,21
10/8/2019,16:32:09,4,3.88,2,1,Left,42,12,42,2
10/8/2019,16:32:52,4,3.89,2,1,Left,43,12,43,12
10/8/2019,16:59:58,4,3.88,1,1,Left,44,13,44,2
10/8/2019,17:01:35,4,3.88,3,1,Left,45,13,45,57
10/8/2019,17:10:50,4,3.88,1,1,Left,46,13,46,208
