,MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,filename,RelativeTime,poke_int,Errors,Nighttime,RelativeTime2,Retrieval_Time_filt,Errors_binned,Successes_binned,NewRT,active_bias
64.0,2020-06-11 07:33:26,0.0,3.71,1.0,1.0,Poke,Left,181.0,83.0,181.0,NaN,FED5.CSV,2 days 17:13:06,0 days 00:20:35,1.0,0.0,234786.0,NaN,3.0,10.0,64.0,76.92307692307693
68.0,2020-06-11 11:12:00,0.0,3.7,1.0,1.0,Poke,Left,182.0,84.0,182.0,NaN,FED5.CSV,2 days 20:51:40,0 days 03:37:48,1.0,0.0,247900.0,NaN,1.0,1.0,68.0,50.0
72.0,2020-06-11 18:10:40,0.0,4.03,2.0,1.0,Poke,Left,191.0,84.0,191.0,NaN,FED5.CSV,3 days 03:50:20,0 days 04:02:31,0.0,0.0,273020.0,NaN,0.0,9.0,72.0,100.0
76.0,2020-06-11 22:17:14,0.0,4.01,3.0,1.0,Poke,Left,206.0,86.0,206.0,NaN,FED5.CSV,3 days 07:56:54,0 days 01:19:25,1.0,1.0,287814.0,NaN,2.0,15.0,76.0,88.23529411764706
80.0,2020-06-12 02:03:06,0.0,3.99,3.0,1.0,Poke,Left,222.0,89.0,222.0,NaN,FED5.CSV,3 days 11:42:46,0 days 01:22:22,1.0,1.0,301366.0,NaN,3.0,16.0,80.0,84.21052631578947
84.0,2020-06-12 06:14:40,0.0,3.96,2.0,1.0,Poke,Left,235.0,93.0,235.0,NaN,FED5.CSV,3 days 15:54:20,0 days 01:02:39,1.0,1.0,316460.0,NaN,4.0,13.0,84.0,76.47058823529412
88.0,2020-06-12 09:09:58,0.0,3.96,2.0,1.0,Poke,Left,243.0,95.0,243.0,NaN,FED5.CSV,3 days 18:49:38,0 days 02:03:39,1.0,0.0,326978.0,NaN,2.0,8.0,88.0,80.0
92.0,2020-06-12 12:59:15,0.0,3.93,2.0,1.0,Poke,Left,245.0,95.0,245.0,NaN,FED5.CSV,3 days 22:38:55,0 days 02:16:03,0.0,0.0,340735.0,NaN,0.0,2.0,92.0,100.0
96.0,2020-06-12 18:18:39,0.0,3.93,2.0,1.0,Poke,Left,255.0,96.0,255.0,NaN,FED5.CSV,4 days 03:58:19,0 days 02:20:29,1.0,0.0,359899.0,NaN,1.0,10.0,96.0,90.9090909090909
100.0,2020-06-12 22:14:47,0.0,3.91,3.0,1.0,Poke,Left,275.0,103.0,275.0,NaN,FED5.CSV,4 days 07:54:27,0 days 00:51:40,1.0,1.0,374067.0,NaN,7.0,20.0,100.0,74.07407407407408
104.0,2020-06-13 01:03:02,0.0,3.89,2.0,1.0,Poke,Left,296.0,107.0,296.0,NaN,FED5.CSV,4 days 10:42:42,0 days 00:37:58,1.0,1.0,384162.0,NaN,4.0,21.0,104.0,84.0
108.0,2020-06-13 06:14:22,0.0,3.89,2.0,1.0,Poke,Left,321.0,112.0,321.0,NaN,FED5.CSV,4 days 15:54:02,0 days 02:24:30,1.0,1.0,402842.0,NaN,5.0,25.0,108.0,83.33333333333334
112.0,2020-06-13 09:58:57,0.0,3.87,1.0,1.0,Poke,Left,331.0,112.0,331.0,NaN,FED5.CSV,4 days 19:38:37,0 days 02:57:02,0.0,0.0,416317.0,NaN,0.0,10.0,112.0,100.0
116.0,2020-06-13 11:42:17,0.0,3.86,1.0,1.0,Poke,Left,332.0,112.0,332.0,NaN,FED5.CSV,4 days 21:21:57,0 days 01:43:16,0.0,0.0,422517.0,NaN,0.0,1.0,116.0,100.0
120.0,2020-06-13 18:19:49,0.0,3.85,1.0,1.0,Poke,Left,338.0,115.0,338.0,NaN,FED5.CSV,5 days 03:59:29,0 days 05:09:34,1.0,0.0,446369.0,NaN,3.0,6.0,120.0,66.66666666666666
124.0,2020-06-13 22:14:09,0.0,3.85,3.0,1.0,Poke,Left,373.0,129.0,373.0,NaN,FED5.CSV,5 days 07:53:49,0 days 00:28:15,1.0,1.0,460429.0,NaN,14.0,35.0,124.0,71.42857142857143
128.0,2020-06-14 02:03:42,0.0,3.84,3.0,1.0,Poke,Left,392.0,134.0,392.0,NaN,FED5.CSV,5 days 11:43:22,0 days 01:01:01,1.0,1.0,474202.0,NaN,5.0,19.0,128.0,79.16666666666666
132.0,2020-06-14 06:18:46,0.0,3.82,2.0,1.0,Poke,Left,427.0,142.0,427.0,NaN,FED5.CSV,5 days 15:58:26,0 days 00:34:31,1.0,1.0,489506.0,NaN,8.0,35.0,132.0,81.3953488372093
136.0,2020-06-14 08:32:39,0.0,3.8,2.0,1.0,Poke,Left,432.0,144.0,432.0,NaN,FED5.CSV,5 days 18:12:19,0 days 01:49:10,1.0,0.0,497539.0,NaN,2.0,5.0,136.0,71.42857142857143
140.0,2020-06-14 14:17:05,0.0,3.78,1.0,1.0,Poke,Left,434.0,144.0,434.0,NaN,FED5.CSV,5 days 23:56:45,0 days 05:42:21,0.0,0.0,518205.0,NaN,0.0,2.0,140.0,100.0
144.0,2020-06-14 18:20:01,0.0,3.78,2.0,1.0,Poke,Left,441.0,145.0,441.0,NaN,FED5.CSV,6 days 03:59:41,0 days 01:42:00,1.0,0.0,532781.0,NaN,1.0,7.0,144.0,87.5
148.0,2020-06-14 22:12:19,0.0,3.76,3.0,1.0,Poke,Left,469.0,150.0,469.0,NaN,FED5.CSV,6 days 07:51:59,0 days 00:39:30,1.0,1.0,546719.0,NaN,5.0,28.0,148.0,84.84848484848484
152.0,2020-06-15 02:19:19,0.0,3.74,2.0,1.0,Poke,Left,486.0,151.0,486.0,NaN,FED5.CSV,6 days 11:58:59,0 days 01:11:03,1.0,1.0,561539.0,NaN,1.0,17.0,152.0,94.44444444444444
156.0,2020-06-15 06:14:15,0.0,3.72,4.0,1.0,Poke,Left,498.0,153.0,498.0,NaN,FED5.CSV,6 days 15:53:55,0 days 01:11:56,1.0,1.0,575635.0,NaN,2.0,12.0,156.0,85.71428571428571
160.0,2020-06-15 09:51:21,0.0,3.69,2.0,1.0,Poke,Left,502.0,154.0,502.0,NaN,FED5.CSV,6 days 19:31:01,0 days 02:11:02,1.0,0.0,588661.0,NaN,1.0,4.0,160.0,80.0
164.0,2020-06-15 12:44:31,0.0,3.67,1.0,1.0,Poke,Left,503.0,154.0,503.0,NaN,FED5.CSV,6 days 22:24:11,0 days 02:53:06,0.0,0.0,599051.0,NaN,0.0,1.0,164.0,100.0
168.0,2020-06-15 16:21:21,0.0,3.67,2.0,1.0,Poke,Left,504.0,155.0,504.0,NaN,FED5.CSV,7 days 02:01:01,0 days 01:50:31,1.0,0.0,612061.0,NaN,1.0,1.0,168.0,50.0
0.0,2020-06-08 17:42:00,0.0,3.96,2.0,1.0,Poke,Left,17.0,14.0,17.0,NaN,FED6.CSV,0 days 03:23:10,0 days 02:01:54,1.0,0.0,12190.0,NaN,NaN,NaN,0.0,NaN
4.0,2020-06-08 21:49:52,0.0,3.93,3.0,1.0,Poke,Left,37.0,27.0,37.0,NaN,FED6.CSV,0 days 07:31:02,0 days 01:04:42,1.0,1.0,27062.0,NaN,13.0,20.0,4.0,60.60606060606061
8.0,2020-06-09 02:16:55,0.0,3.92,2.0,1.0,Poke,Left,54.0,48.0,54.0,NaN,FED6.CSV,0 days 11:58:05,0 days 01:15:25,1.0,1.0,43085.0,NaN,21.0,17.0,8.0,44.73684210526316
12.0,2020-06-09 05:41:08,0.0,3.89,2.0,1.0,Poke,Left,66.0,49.0,66.0,NaN,FED6.CSV,0 days 15:22:18,0 days 00:45:52,1.0,1.0,55338.0,NaN,1.0,12.0,12.0,92.3076923076923
16.0,2020-06-09 08:15:19,0.0,3.87,2.0,1.0,Poke,Left,68.0,52.0,68.0,NaN,FED6.CSV,0 days 17:56:29,0 days 01:02:13,1.0,0.0,64589.0,NaN,3.0,2.0,16.0,40.0
20.0,2020-06-09 11:32:50,0.0,3.84,0.0,1.0,Poke,Left,68.0,53.0,68.0,NaN,FED6.CSV,0 days 21:14:00,0 days 03:17:31,1.0,0.0,76440.0,NaN,1.0,0.0,20.0,0.0
24.0,2020-06-09 18:14:33,0.0,3.82,3.0,1.0,Poke,Left,81.0,63.0,81.0,NaN,FED6.CSV,1 days 03:55:43,0 days 04:25:58,1.0,0.0,100543.0,NaN,10.0,13.0,24.0,56.52173913043478
28.0,2020-06-09 22:12:22,0.0,3.8,3.0,1.0,Poke,Left,98.0,80.0,98.0,NaN,FED6.CSV,1 days 07:53:32,0 days 00:39:43,1.0,1.0,114812.0,NaN,17.0,17.0,28.0,50.0
32.0,2020-06-10 02:16:28,0.0,3.78,3.0,1.0,Poke,Left,111.0,87.0,111.0,NaN,FED6.CSV,1 days 11:57:38,0 days 00:53:38,1.0,1.0,129458.0,NaN,7.0,13.0,32.0,65.0
36.0,2020-06-10 05:53:42,0.0,3.74,3.0,1.0,Poke,Left,126.0,93.0,126.0,NaN,FED6.CSV,1 days 15:34:52,0 days 01:09:29,1.0,1.0,142492.0,NaN,6.0,15.0,36.0,71.42857142857143
40.0,2020-06-10 08:24:58,0.0,3.72,2.0,1.0,Poke,Left,130.0,95.0,130.0,NaN,FED6.CSV,1 days 18:06:08,0 days 01:34:53,1.0,0.0,151568.0,NaN,2.0,4.0,40.0,66.66666666666666
44.0,2020-06-10 12:07:50,0.0,3.71,2.0,1.0,Poke,Left,133.0,97.0,133.0,NaN,FED6.CSV,1 days 21:49:00,0 days 02:34:31,1.0,0.0,164940.0,NaN,2.0,3.0,44.0,60.0
48.0,2020-06-10 18:05:32,0.0,3.8,2.0,1.0,Poke,Left,144.0,104.0,144.0,NaN,FED6.CSV,2 days 03:46:42,0 days 02:55:05,1.0,0.0,186402.0,NaN,7.0,11.0,48.0,61.111111111111114
52.0,2020-06-10 21:32:15,0.0,3.76,4.0,1.0,Poke,Left,164.0,110.0,164.0,NaN,FED6.CSV,2 days 07:13:25,0 days 00:35:55,1.0,1.0,198805.0,NaN,6.0,20.0,52.0,76.92307692307693
56.0,2020-06-11 01:41:05,0.0,3.74,3.0,1.0,Poke,Left,178.0,116.0,178.0,NaN,FED6.CSV,2 days 11:22:15,0 days 00:51:41,1.0,1.0,213735.0,NaN,6.0,14.0,56.0,70.0
60.0,2020-06-11 06:18:02,0.0,3.72,2.0,1.0,Poke,Left,194.0,120.0,194.0,NaN,FED6.CSV,2 days 15:59:12,0 days 00:54:42,1.0,1.0,230352.0,NaN,4.0,16.0,60.0,80.0
64.0,2020-06-11 09:17:44,0.0,3.71,3.0,1.0,Poke,Left,200.0,120.0,200.0,NaN,FED6.CSV,2 days 18:58:54,0 days 02:03:36,0.0,0.0,241134.0,NaN,0.0,6.0,64.0,100.0
68.0,2020-06-11 12:48:51,0.0,3.69,2.0,1.0,Poke,Left,205.0,121.0,205.0,NaN,FED6.CSV,2 days 22:30:01,0 days 02:18:36,1.0,0.0,253801.0,NaN,1.0,5.0,68.0,83.33333333333334
72.0,2020-06-11 18:16:30,0.0,3.71,2.0,1.0,Poke,Left,215.0,125.0,215.0,NaN,FED6.CSV,3 days 03:57:40,0 days 01:40:38,1.0,0.0,273460.0,NaN,4.0,10.0,72.0,71.42857142857143
76.0,2020-06-11 22:09:44,0.0,3.7,2.0,1.0,Poke,Left,238.0,131.0,238.0,NaN,FED6.CSV,3 days 07:50:54,0 days 00:46:51,1.0,1.0,287454.0,NaN,6.0,23.0,76.0,79.3103448275862
80.0,2020-06-12 02:06:17,0.0,3.69,2.0,1.0,Poke,Left,251.0,139.0,251.0,NaN,FED6.CSV,3 days 11:47:27,0 days 00:56:51,1.0,1.0,301647.0,NaN,8.0,13.0,80.0,61.904761904761905
84.0,2020-06-12 06:08:41,0.0,3.67,3.0,1.0,Poke,Left,266.0,143.0,266.0,NaN,FED6.CSV,3 days 15:49:51,0 days 00:36:44,1.0,1.0,316191.0,NaN,4.0,15.0,84.0,78.94736842105263
88.0,2020-06-12 09:24:58,0.0,3.67,4.0,1.0,Poke,Left,274.0,144.0,274.0,NaN,FED6.CSV,3 days 19:06:08,0 days 00:48:30,1.0,0.0,327968.0,NaN,1.0,8.0,88.0,88.88888888888889
92.0,2020-06-12 14:16:26,0.0,3.66,2.0,1.0,Poke,Left,278.0,145.0,278.0,NaN,FED6.CSV,3 days 23:57:36,0 days 03:05:03,1.0,0.0,345456.0,NaN,1.0,4.0,92.0,80.0
96.0,2020-06-12 18:06:12,0.0,3.65,2.0,1.0,Poke,Left,286.0,147.0,286.0,NaN,FED6.CSV,4 days 03:47:22,0 days 01:05:31,1.0,0.0,359242.0,NaN,2.0,8.0,96.0,80.0
100.0,2020-06-12 22:12:26,0.0,3.65,2.0,1.0,Poke,Left,304.0,153.0,304.0,NaN,FED6.CSV,4 days 07:53:36,0 days 00:33:31,1.0,1.0,374016.0,NaN,6.0,18.0,100.0,75.0
104.0,2020-06-13 02:17:01,0.0,3.64,2.0,1.0,Poke,Left,316.0,157.0,316.0,NaN,FED6.CSV,4 days 11:58:11,0 days 00:55:21,1.0,1.0,388691.0,NaN,4.0,12.0,104.0,75.0
108.0,2020-06-13 06:02:06,0.0,3.64,3.0,1.0,Poke,Left,331.0,170.0,331.0,NaN,FED6.CSV,4 days 15:43:16,0 days 00:27:45,1.0,1.0,402196.0,NaN,13.0,15.0,108.0,53.57142857142857
112.0,2020-06-13 08:49:59,0.0,3.62,3.0,1.0,Poke,Left,339.0,170.0,339.0,NaN,FED6.CSV,4 days 18:31:09,0 days 00:53:27,0.0,0.0,412269.0,NaN,0.0,8.0,112.0,100.0
116.0,2020-06-13 14:13:03,0.0,3.61,3.0,1.0,Poke,Left,344.0,171.0,344.0,NaN,FED6.CSV,4 days 23:54:13,0 days 01:49:41,1.0,0.0,431653.0,NaN,1.0,5.0,116.0,83.33333333333334
120.0,2020-06-13 18:12:23,0.0,3.6,3.0,1.0,Poke,Left,353.0,173.0,353.0,NaN,FED6.CSV,5 days 03:53:33,0 days 01:03:04,1.0,0.0,446013.0,NaN,2.0,9.0,120.0,81.81818181818183
124.0,2020-06-13 22:08:29,0.0,3.59,2.0,1.0,Poke,Left,369.0,182.0,368.0,NaN,FED6.CSV,5 days 07:49:39,0 days 00:26:09,1.0,1.0,460179.0,NaN,9.0,16.0,124.0,64.0
128.0,2020-06-14 01:36:26,0.0,3.57,2.0,1.0,Poke,Left,381.0,188.0,381.0,NaN,FED6.CSV,5 days 11:17:36,0 days 00:43:11,1.0,1.0,472656.0,NaN,6.0,12.0,128.0,66.66666666666666
132.0,2020-06-14 06:17:20,0.0,3.56,3.0,1.0,Poke,Left,397.0,201.0,397.0,NaN,FED6.CSV,5 days 15:58:30,0 days 01:01:49,1.0,1.0,489510.0,NaN,13.0,16.0,132.0,55.172413793103445
136.0,2020-06-14 08:35:19,0.0,3.56,2.0,1.0,Poke,Left,401.0,202.0,401.0,NaN,FED6.CSV,5 days 18:16:29,0 days 00:48:49,1.0,0.0,497789.0,NaN,1.0,4.0,136.0,80.0
140.0,2020-06-14 14:04:09,0.0,3.56,2.0,1.0,Poke,Left,405.0,203.0,405.0,NaN,FED6.CSV,5 days 23:45:19,0 days 02:13:19,1.0,0.0,517519.0,NaN,1.0,4.0,140.0,80.0
144.0,2020-06-14 17:57:29,0.0,3.57,2.0,1.0,Poke,Left,411.0,203.0,411.0,NaN,FED6.CSV,6 days 03:38:39,0 days 01:21:43,0.0,0.0,531519.0,NaN,0.0,6.0,144.0,100.0
148.0,2020-06-14 22:13:21,0.0,3.57,2.0,1.0,Poke,Left,428.0,216.0,428.0,NaN,FED6.CSV,6 days 07:54:31,0 days 00:37:25,1.0,1.0,546871.0,NaN,13.0,17.0,148.0,56.666666666666664
152.0,2020-06-15 02:11:28,0.0,3.58,3.0,1.0,Poke,Left,442.0,220.0,442.0,NaN,FED6.CSV,6 days 11:52:38,0 days 00:33:53,1.0,1.0,561158.0,NaN,4.0,14.0,152.0,77.77777777777779
156.0,2020-06-15 06:17:47,0.0,3.57,3.0,1.0,Poke,Left,456.0,223.0,456.0,NaN,FED6.CSV,6 days 15:58:57,0 days 00:39:58,1.0,1.0,575937.0,NaN,3.0,14.0,156.0,82.35294117647058
160.0,2020-06-15 10:07:12,0.0,3.58,2.0,1.0,Poke,Left,463.0,229.0,463.0,NaN,FED6.CSV,6 days 19:48:22,0 days 01:00:01,1.0,0.0,589702.0,NaN,6.0,7.0,160.0,53.84615384615385
164.0,2020-06-15 13:26:03,0.0,3.59,2.0,1.0,Poke,Left,468.0,230.0,468.0,NaN,FED6.CSV,6 days 23:07:13,0 days 01:05:13,1.0,0.0,601633.0,NaN,1.0,5.0,164.0,83.33333333333334
168.0,2020-06-15 16:16:34,0.0,3.61,2.0,1.0,Poke,Left,472.0,230.0,472.0,NaN,FED6.CSV,7 days 01:57:44,0 days 01:09:07,0.0,0.0,611864.0,NaN,0.0,4.0,168.0,100.0
0.0,2020-06-08 17:45:43,18.0,4.21,3.0,1.0,Poke,Left,24.0,17.0,24.0,NaN,FED7.CSV,0 days 03:23:31,0 days 01:34:35,1.0,0.0,12211.0,NaN,NaN,NaN,0.0,NaN
4.0,2020-06-08 21:54:42,18.0,4.17,2.0,1.0,Poke,Left,54.0,26.0,54.0,NaN,FED7.CSV,0 days 07:32:30,0 days 00:51:08,1.0,1.0,27150.0,NaN,9.0,30.0,4.0,76.92307692307693
8.0,2020-06-09 02:13:12,18.0,4.14,3.0,1.0,Poke,Left,69.0,30.0,69.0,NaN,FED7.CSV,0 days 11:51:00,0 days 01:06:40,1.0,1.0,42660.0,NaN,4.0,15.0,8.0,78.94736842105263
12.0,2020-06-09 06:05:37,18.0,4.12,4.0,1.0,Poke,Left,81.0,44.0,81.0,NaN,FED7.CSV,0 days 15:43:25,0 days 01:11:35,1.0,1.0,56605.0,NaN,14.0,12.0,12.0,46.15384615384615
16.0,2020-06-09 10:01:27,18.0,4.1,3.0,1.0,Poke,Left,86.0,44.0,86.0,NaN,FED7.CSV,0 days 19:39:15,0 days 01:26:09,0.0,0.0,70755.0,NaN,0.0,5.0,16.0,100.0
20.0,2020-06-09 11:55:55,18.0,4.09,2.0,1.0,Poke,Left,90.0,44.0,90.0,NaN,FED7.CSV,0 days 21:33:43,0 days 01:00:14,0.0,0.0,77623.0,NaN,0.0,4.0,20.0,100.0
24.0,2020-06-09 18:16:19,18.0,4.08,3.0,1.0,Poke,Left,107.0,49.0,107.0,NaN,FED7.CSV,1 days 03:54:07,0 days 02:28:23,1.0,0.0,100447.0,NaN,5.0,17.0,24.0,77.27272727272727
28.0,2020-06-09 22:11:59,18.0,4.07,4.0,1.0,Poke,Left,135.0,54.0,135.0,NaN,FED7.CSV,1 days 07:49:47,0 days 00:33:05,1.0,1.0,114587.0,NaN,5.0,28.0,28.0,84.84848484848484
32.0,2020-06-10 02:03:51,18.0,4.07,3.0,1.0,Poke,Left,149.0,59.0,149.0,NaN,FED7.CSV,1 days 11:41:39,0 days 00:50:04,1.0,1.0,128499.0,NaN,5.0,14.0,32.0,73.68421052631578
36.0,2020-06-10 05:32:53,18.0,4.07,2.0,1.0,Poke,Left,160.0,62.0,160.0,NaN,FED7.CSV,1 days 15:10:41,0 days 00:49:24,1.0,1.0,141041.0,NaN,3.0,11.0,36.0,78.57142857142857
40.0,2020-06-10 08:12:00,18.0,4.06,3.0,1.0,Poke,Left,167.0,62.0,167.0,NaN,FED7.CSV,1 days 17:49:48,0 days 01:17:02,0.0,0.0,150588.0,NaN,0.0,7.0,40.0,100.0
44.0,2020-06-10 13:40:16,18.0,4.06,2.0,1.0,Poke,Left,172.0,62.0,172.0,NaN,FED7.CSV,1 days 23:18:04,0 days 02:26:53,0.0,0.0,170284.0,NaN,0.0,5.0,44.0,100.0
48.0,2020-06-10 17:59:22,18.0,4.05,3.0,1.0,Poke,Left,184.0,62.0,184.0,NaN,FED7.CSV,2 days 03:37:10,0 days 01:05:29,0.0,0.0,185830.0,NaN,0.0,12.0,48.0,100.0
52.0,2020-06-10 22:14:20,18.0,4.05,2.0,1.0,Poke,Left,204.0,71.0,204.0,NaN,FED7.CSV,2 days 07:52:08,0 days 00:29:30,1.0,1.0,201128.0,NaN,9.0,20.0,52.0,68.96551724137932
56.0,2020-06-11 01:24:30,18.0,4.02,3.0,1.0,Poke,Left,216.0,73.0,216.0,NaN,FED7.CSV,2 days 11:02:18,0 days 00:37:39,1.0,1.0,212538.0,NaN,2.0,12.0,56.0,85.71428571428571
60.0,2020-06-11 05:57:22,18.0,4.01,4.0,1.0,Poke,Left,228.0,73.0,228.0,NaN,FED7.CSV,2 days 15:35:10,0 days 01:20:59,0.0,1.0,228910.0,NaN,0.0,12.0,60.0,100.0
64.0,2020-06-11 10:16:22,18.0,3.99,3.0,1.0,Poke,Left,241.0,73.0,241.0,NaN,FED7.CSV,2 days 19:54:10,0 days 00:56:34,0.0,0.0,244450.0,NaN,0.0,13.0,64.0,100.0
68.0,2020-06-11 13:33:12,18.0,3.97,1.0,1.0,Poke,Left,243.0,73.0,243.0,NaN,FED7.CSV,2 days 23:11:00,0 days 01:54:16,0.0,0.0,256260.0,NaN,0.0,2.0,68.0,100.0
72.0,2020-06-11 18:05:50,18.0,3.96,2.0,1.0,Poke,Left,253.0,74.0,253.0,NaN,FED7.CSV,3 days 03:43:38,0 days 01:15:56,1.0,0.0,272618.0,NaN,1.0,10.0,72.0,90.9090909090909
76.0,2020-06-11 22:13:11,18.0,3.94,4.0,1.0,Poke,Left,268.0,81.0,268.0,NaN,FED7.CSV,3 days 07:50:59,0 days 00:42:39,1.0,1.0,287459.0,NaN,7.0,15.0,76.0,68.18181818181817
80.0,2020-06-12 02:13:41,18.0,3.93,2.0,1.0,Poke,Left,280.0,84.0,280.0,NaN,FED7.CSV,3 days 11:51:29,0 days 00:58:55,1.0,1.0,301889.0,NaN,3.0,12.0,80.0,80.0
84.0,2020-06-12 05:55:38,18.0,3.91,2.0,1.0,Poke,Left,292.0,87.0,292.0,NaN,FED7.CSV,3 days 15:33:26,0 days 00:43:27,1.0,1.0,315206.0,NaN,3.0,12.0,84.0,80.0
88.0,2020-06-12 10:15:17,18.0,3.91,2.0,1.0,Poke,Left,300.0,87.0,300.0,NaN,FED7.CSV,3 days 19:53:05,0 days 01:00:29,0.0,0.0,330785.0,NaN,0.0,8.0,88.0,100.0
92.0,2020-06-12 14:19:31,18.0,3.9,2.0,1.0,Poke,Left,306.0,89.0,306.0,NaN,FED7.CSV,3 days 23:57:19,0 days 01:25:25,1.0,0.0,345439.0,NaN,2.0,6.0,92.0,75.0
96.0,2020-06-12 18:08:00,18.0,3.89,2.0,1.0,Poke,Left,315.0,89.0,315.0,NaN,FED7.CSV,4 days 03:45:48,0 days 01:16:41,0.0,0.0,359148.0,NaN,0.0,9.0,96.0,100.0
100.0,2020-06-12 22:14:49,18.0,3.88,3.0,1.0,Poke,Left,329.0,101.0,329.0,NaN,FED7.CSV,4 days 07:52:37,0 days 00:50:37,1.0,1.0,373957.0,NaN,12.0,14.0,100.0,53.84615384615385
104.0,2020-06-13 02:12:54,18.0,3.87,3.0,1.0,Poke,Left,343.0,102.0,343.0,NaN,FED7.CSV,4 days 11:50:42,0 days 00:51:58,1.0,1.0,388242.0,NaN,1.0,14.0,104.0,93.33333333333333
108.0,2020-06-13 05:26:04,18.0,3.87,3.0,1.0,Poke,Left,355.0,104.0,355.0,NaN,FED7.CSV,4 days 15:03:52,0 days 00:33:51,1.0,1.0,399832.0,NaN,2.0,12.0,108.0,85.71428571428571
112.0,2020-06-13 09:37:09,18.0,3.85,3.0,1.0,Poke,Left,360.0,104.0,360.0,NaN,FED7.CSV,4 days 19:14:57,0 days 02:14:28,0.0,0.0,414897.0,NaN,0.0,5.0,112.0,100.0
116.0,2020-06-13 13:43:16,18.0,3.84,3.0,1.0,Poke,Left,366.0,105.0,366.0,NaN,FED7.CSV,4 days 23:21:04,0 days 01:40:38,1.0,0.0,429664.0,NaN,1.0,6.0,116.0,85.71428571428571
120.0,2020-06-13 18:06:58,18.0,3.83,3.0,1.0,Poke,Left,375.0,105.0,375.0,NaN,FED7.CSV,5 days 03:44:46,0 days 02:22:03,0.0,0.0,445486.0,NaN,0.0,9.0,120.0,100.0
124.0,2020-06-13 22:06:21,18.0,3.82,2.0,1.0,Poke,Left,393.0,112.0,393.0,NaN,FED7.CSV,5 days 07:44:09,0 days 00:28:43,1.0,1.0,459849.0,NaN,7.0,18.0,124.0,72.0
128.0,2020-06-14 02:14:38,18.0,3.8,3.0,1.0,Poke,Left,404.0,113.0,404.0,NaN,FED7.CSV,5 days 11:52:26,0 days 00:46:10,1.0,1.0,474746.0,NaN,1.0,11.0,128.0,91.66666666666666
132.0,2020-06-14 05:54:06,18.0,3.78,3.0,1.0,Poke,Left,417.0,118.0,417.0,NaN,FED7.CSV,5 days 15:31:54,0 days 00:36:37,1.0,1.0,487914.0,NaN,5.0,13.0,132.0,72.22222222222221
136.0,2020-06-14 10:00:23,18.0,3.75,3.0,1.0,Poke,Left,425.0,118.0,425.0,NaN,FED7.CSV,5 days 19:38:11,0 days 00:54:41,0.0,0.0,502691.0,NaN,0.0,8.0,136.0,100.0
140.0,2020-06-14 14:00:46,18.0,3.74,3.0,1.0,Poke,Left,434.0,118.0,433.0,NaN,FED7.CSV,5 days 23:38:34,0 days 01:15:11,0.0,0.0,517114.0,NaN,0.0,9.0,140.0,100.0
144.0,2020-06-14 17:56:53,18.0,3.71,2.0,1.0,Poke,Left,442.0,118.0,442.0,NaN,FED7.CSV,6 days 03:34:41,0 days 01:34:05,0.0,0.0,531281.0,NaN,0.0,8.0,144.0,100.0
148.0,2020-06-14 22:01:52,18.0,3.69,3.0,1.0,Poke,Left,459.0,120.0,459.0,NaN,FED7.CSV,6 days 07:39:40,0 days 00:32:40,1.0,1.0,545980.0,NaN,2.0,17.0,148.0,89.47368421052632
152.0,2020-06-15 01:56:17,18.0,3.67,3.0,1.0,Poke,Left,475.0,134.0,475.0,NaN,FED7.CSV,6 days 11:34:05,0 days 00:35:35,1.0,1.0,560045.0,NaN,14.0,16.0,152.0,53.333333333333336
156.0,2020-06-15 05:45:41,18.0,3.65,3.0,1.0,Poke,Left,486.0,140.0,486.0,NaN,FED7.CSV,6 days 15:23:29,0 days 00:54:53,1.0,1.0,573809.0,NaN,6.0,11.0,156.0,64.70588235294117
160.0,2020-06-15 09:31:15,18.0,3.64,3.0,1.0,Poke,Left,491.0,141.0,491.0,NaN,FED7.CSV,6 days 19:09:03,0 days 01:37:02,1.0,0.0,587343.0,NaN,1.0,5.0,160.0,83.33333333333334
164.0,2020-06-15 13:57:21,18.0,3.62,2.0,1.0,Poke,Left,498.0,141.0,498.0,NaN,FED7.CSV,6 days 23:35:09,0 days 01:36:45,0.0,0.0,603309.0,NaN,0.0,7.0,164.0,100.0
168.0,2020-06-15 16:34:10,18.0,3.6,2.0,1.0,Poke,Left,503.0,142.0,503.0,NaN,FED7.CSV,7 days 02:11:58,0 days 01:02:06,1.0,0.0,612718.0,NaN,1.0,5.0,168.0,83.33333333333334
0.0,2020-06-08 18:03:54,0.0,4.14,3.0,1.0,Poke,Left,27.0,15.0,27.0,NaN,FED8.CSV,0 days 03:54:06,0 days 01:44:39,1.0,0.0,14046.0,NaN,NaN,NaN,0.0,NaN
4.0,2020-06-08 20:20:42,0.0,4.11,4.0,1.0,Poke,Left,36.0,22.0,36.0,NaN,FED8.CSV,0 days 06:10:54,0 days 01:33:43,1.0,1.0,22254.0,NaN,7.0,9.0,4.0,56.25
8.0,2020-06-09 01:00:14,0.0,4.09,6.0,1.0,Poke,Left,57.0,27.0,57.0,NaN,FED8.CSV,0 days 10:50:26,0 days 01:53:43,1.0,1.0,39026.0,NaN,5.0,21.0,8.0,80.76923076923077
