MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2021-07-27 15:37:13,1.8.1,PRexp,0,3.89,1,1,Poke,Left,1,0,0,0,,,0.18,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 16:55:40,1.8.1,PRexp,0,3.89,3,1,Pellet,Left,1,0,1,1,,,,0 days 01:18:27.000000000,1.0,,0.0,0.0,,0,PR
2021-07-27 16:56:02,1.8.1,PRexp,0,3.88,1,1,Poke,Left,2,0,1,0,,,0.44,0 days 01:18:49.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 16:56:04,1.8.1,PRexp,0,3.88,1,1,Pellet,Left,2,0,2,1,1.01,24.0,,0 days 01:18:51.000000000,1.0,0.4,0.0,0.0,,0,PR
2021-07-27 16:56:30,1.8.1,PRexp,0,3.88,1,2,Poke,Left,3,0,2,1,,,0.34,0 days 01:19:17.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 16:56:40,1.8.1,PRexp,0,3.88,1,2,Poke,Left,4,0,2,1,,,0.19,0 days 01:19:27.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 16:57:12,1.8.1,PRexp,0,3.88,2,2,Pellet,Left,4,0,3,2,31.19,68.0,,0 days 01:19:59.000000000,1.0,1.1333333333333333,0.0,0.0,,0,PR
2021-07-27 16:57:38,1.8.1,PRexp,0,3.89,1,3,Poke,Left,5,0,3,2,,,0.18,0 days 01:20:25.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 16:57:44,1.8.1,PRexp,0,3.88,1,3,Poke,Left,5,1,3,2,,,0.16,0 days 01:20:31.000000000,0.0,,0.0,1.0,0.0,0,PR
2021-07-27 16:57:53,1.8.1,PRexp,0,3.88,1,3,Poke,Left,6,1,3,2,,,0.11,0 days 01:20:40.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 16:57:58,1.8.1,PRexp,0,3.89,1,3,Poke,Left,7,1,3,2,,,0.5,0 days 01:20:45.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 16:57:59,1.8.1,PRexp,0,3.88,1,3,Pellet,Left,7,1,4,3,0.82,47.0,,0 days 01:20:46.000000000,1.0,0.7833333333333333,0.0,0.0,,0,PR
2021-07-27 17:43:46,1.8.1,PRexp,0,3.88,1,1,Poke,Left,8,1,4,0,,,0.05,0 days 02:06:33.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 18:06:55,1.8.1,PRexp,0,3.88,2,1,Pellet,Left,8,1,5,1,,4136.0,,0 days 02:29:42.000000000,1.0,68.93333333333334,0.0,0.0,,0,PR
2021-07-27 18:07:16,1.8.1,PRexp,0,3.88,1,2,Poke,Left,9,1,5,1,,,0.05,0 days 02:30:03.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 18:07:21,1.8.1,PRexp,0,3.88,1,2,Poke,Left,10,1,5,1,,,0.43,0 days 02:30:08.000000000,0.0,,1.0,0.0,1.0,0,PR
2021-07-27 18:07:22,1.8.1,PRexp,0,3.88,1,2,Pellet,Left,10,1,6,2,0.82,27.0,,0 days 02:30:09.000000000,1.0,0.45,0.0,0.0,,0,PR
2021-07-27 18:07:57,1.8.1,PRexp,0,3.86,1,3,Poke,Left,11,1,6,2,,,0.36,0 days 02:30:44.000000000,0.0,,1.0,0.0,1.0,0,PR
