MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
8/18/2019,9:50:17,14,4.19,3,1,Left,1,1,1,28
8/18/2019,9:55:49,14,4.19,1,1,Left,2,3,2,105
8/18/2019,9:56:57,14,4.19,1,1,Left,3,3,3,2
8/18/2019,10:03:56,14,4.18,1,1,Left,4,9,4,3
8/18/2019,10:05:07,14,4.18,1,1,Left,5,9,5,2
8/18/2019,10:19:17,14,4.18,2,1,Left,6,9,6,137
8/18/2019,10:35:33,14,4.16,2,1,Left,7,9,7,41
8/18/2019,10:36:40,14,4.17,3,1,Left,8,9,8,13
8/18/2019,11:43:16,14,4.14,2,1,Left,9,9,9,2
8/18/2019,11:44:12,14,4.14,2,1,Left,10,9,10,22
8/18/2019,11:45:15,14,4.14,2,1,Left,11,9,11,28
8/18/2019,11:46:10,14,4.14,2,1,Left,12,9,12,2
8/18/2019,11:46:45,14,4.14,1,1,Left,13,9,13,2
8/18/2019,11:47:43,14,4.14,1,1,Left,14,9,14,3
8/18/2019,12:30:15,14,4.12,1,1,Left,15,9,15,2
8/18/2019,13:00:56,14,4.12,2,1,Left,16,9,16,40
8/18/2019,13:19:56,14,4.11,2,1,Left,17,9,17,1
8/18/2019,13:21:00,14,4.11,2,1,Left,18,9,18,17
8/18/2019,13:21:41,14,4.11,1,1,Left,19,9,19,1
8/18/2019,13:44:55,14,4.11,1,1,Left,20,14,20,2
8/18/2019,13:59:55,14,4.11,2,1,Left,21,14,21,32
8/18/2019,14:01:18,14,4.10,1,1,Left,22,14,22,27
8/18/2019,14:10:49,14,4.10,2,1,Left,23,14,23,24
8/18/2019,14:12:01,14,4.10,2,1,Left,24,14,24,18
8/18/2019,14:25:53,14,4.09,3,1,Left,25,14,25,15
8/18/2019,14:27:56,14,4.09,2,1,Left,26,14,26,35
8/18/2019,14:28:53,14,4.09,1,1,Left,27,14,27,1
8/18/2019,15:11:27,14,4.09,1,1,Left,28,14,28,2
8/18/2019,15:19:41,14,4.09,1,1,Left,29,15,29,1
8/18/2019,15:34:07,14,4.09,2,1,Left,30,15,30,33
8/18/2019,15:35:30,14,4.09,2,1,Left,31,15,31,19
8/18/2019,15:36:11,14,4.09,1,1,Left,32,15,32,2
8/18/2019,15:51:23,14,4.08,2,1,Left,33,16,33,18
8/18/2019,15:52:28,14,4.08,2,1,Left,34,16,34,17
8/18/2019,15:53:26,14,4.08,2,1,Left,35,16,35,15
8/18/2019,15:54:38,14,4.08,2,1,Left,36,16,36,20
8/18/2019,17:05:00,14,4.07,1,1,Left,37,19,37,1
8/18/2019,17:06:09,14,4.07,2,1,Left,38,19,38,23
8/18/2019,17:07:22,14,4.08,2,1,Left,39,19,39,25
8/18/2019,17:08:21,14,4.07,1,1,Left,40,19,40,1
8/18/2019,17:44:32,14,4.07,1,1,Left,41,35,41,2
8/18/2019,17:46:04,14,4.07,2,1,Left,42,35,42,29
8/18/2019,17:59:46,14,4.07,2,1,Left,43,35,43,18
8/18/2019,18:00:58,14,4.07,2,1,Left,44,35,44,19
8/18/2019,18:01:54,14,4.07,2,1,Left,45,35,45,1
8/18/2019,18:12:44,14,4.07,1,1,Left,46,35,46,1
