MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
1/17/2020,14:21:33,14,3.83,1,1,Left,1,1,1,2850
1/18/2020,13:42:40,14,3.81,1,1,Left,2,1,2,26
1/18/2020,13:44:33,14,3.81,1,1,Left,3,1,3,5
1/18/2020,13:46:52,14,3.81,1,1,Left,4,1,4,3
1/18/2020,13:50:33,14,3.82,1,1,Left,5,9,5,17
1/18/2020,13:52:04,14,3.82,1,1,Left,6,10,6,4
1/18/2020,13:53:39,14,3.82,1,1,Left,7,11,7,2
1/18/2020,13:55:14,14,3.82,1,1,Left,8,11,8,15
1/18/2020,13:58:00,14,3.82,2,1,Left,9,12,9,78
1/18/2020,13:59:38,14,3.82,1,1,Left,10,13,10,6
1/18/2020,14:08:52,14,3.82,1,1,Left,11,13,11,3
1/18/2020,14:20:20,14,3.82,2,1,Left,12,13,12,69
1/18/2020,14:21:34,14,3.83,1,1,Left,13,13,13,7
1/18/2020,14:22:54,14,3.82,1,1,Left,14,16,14,7
1/18/2020,14:25:44,14,3.83,1,1,Left,15,16,15,32
1/18/2020,14:27:29,14,3.83,1,1,Left,16,16,16,2
1/18/2020,14:48:20,14,3.83,1,1,Left,17,18,17,2
1/18/2020,14:50:30,14,3.83,1,1,Left,18,18,18,4
1/18/2020,14:52:04,14,3.83,1,1,Left,19,18,19,2
1/18/2020,14:53:49,14,3.84,1,1,Left,20,19,20,3
1/18/2020,15:00:49,14,3.84,2,1,Left,21,19,21,44
1/18/2020,15:02:03,14,3.84,1,1,Left,22,19,22,2
1/18/2020,15:04:03,14,3.85,1,1,Left,23,19,23,4
1/18/2020,16:03:29,14,3.87,1,1,Left,24,19,24,2
1/18/2020,16:07:06,14,3.87,1,1,Left,25,19,25,2
