MM:DD:YYYY hh:mm:ss,FED_Version,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time
8/5/2020 16:30:58,1.1.45,8,4.18,0,FR1,Poke,Left,1,0,0,nan
8/5/2020 16:32:07,1.1.45,8,4.18,2,FR1,Pellet,Left,1,0,1,65
8/5/2020 16:33:25,1.1.45,8,4.18,0,FR1,Poke,Left,2,0,1,nan
8/5/2020 16:33:28,1.1.45,8,4.18,1,FR1,Pellet,Left,2,0,2,0
8/5/2020 16:34:01,1.1.45,8,4.18,0,FR1,Poke,Left,3,0,2,nan
8/5/2020 16:34:17,1.1.45,8,4.18,2,FR1,Pellet,Left,3,0,3,13
8/5/2020 16:34:27,1.1.45,8,4.18,0,FR1,Poke,Left,4,0,3,nan
8/5/2020 16:34:30,1.1.45,8,4.18,1,FR1,Pellet,Left,4,0,4,1
8/5/2020 16:34:47,1.1.45,8,4.18,0,FR1,Poke,Left,5,0,4,nan
8/5/2020 16:34:51,1.1.45,8,4.18,2,FR1,Pellet,Left,5,0,5,1
8/5/2020 16:35:00,1.1.45,8,4.18,0,FR1,Poke,Left,6,0,5,nan
8/5/2020 16:35:03,1.1.45,8,4.18,1,FR1,Pellet,Left,6,0,6,1
8/5/2020 16:36:39,1.1.45,8,4.18,0,FR1,Poke,Left,7,0,6,nan
8/5/2020 16:36:42,1.1.45,8,4.18,1,FR1,Pellet,Left,7,0,7,0
8/5/2020 16:36:52,1.1.45,8,4.18,0,FR1,Poke,Left,8,0,7,nan
8/5/2020 16:37:00,1.1.45,8,4.18,4,FR1,Pellet,Left,8,0,8,1
8/5/2020 16:37:16,1.1.45,8,4.18,0,FR1,Poke,Left,9,0,8,nan
8/5/2020 16:37:22,1.1.45,8,4.17,3,FR1,Pellet,Left,9,0,9,0
8/5/2020 16:37:39,1.1.45,8,4.17,0,FR1,Poke,Left,10,0,9,nan
8/5/2020 16:37:42,1.1.45,8,4.18,1,FR1,Pellet,Left,10,0,10,1
8/5/2020 16:37:56,1.1.45,8,4.18,0,FR1,Poke,Left,11,0,10,nan
8/5/2020 16:38:03,1.1.45,8,4.17,3,FR1,Pellet,Left,11,0,11,1
8/5/2020 16:38:18,1.1.45,8,4.17,0,FR1,Poke,Left,12,0,11,nan
8/5/2020 16:38:24,1.1.45,8,4.17,3,FR1,Pellet,Left,12,0,12,1
8/5/2020 16:40:38,1.1.45,8,4.17,0,FR1,Poke,Left,13,0,12,nan
8/5/2020 16:40:40,1.1.45,8,4.18,1,FR1,Pellet,Left,13,0,13,0
8/5/2020 16:41:18,1.1.45,8,4.18,0,FR1,Poke,Left,14,0,13,nan
8/5/2020 16:41:20,1.1.45,8,4.17,1,FR1,Pellet,Left,14,0,14,0
8/5/2020 16:41:56,1.1.45,8,4.17,0,FR1,Poke,Left,15,0,14,nan
8/5/2020 16:41:59,1.1.45,8,4.17,1,FR1,Pellet,Left,15,0,15,0
