MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,Poke_Time
4/2/2021 17:47:38,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,1,0,0,0,nan,0.39
4/2/2021 17:47:44,1.4.2,FR1_Rev,5,3.94,3,1,Pellet,Left,1,0,1,0,1.34,nan
4/2/2021 17:51:27,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,1,1,1,0,nan,0.40
4/2/2021 17:53:06,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,2,1,1,0,nan,0.15
4/2/2021 17:53:09,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,2,1,2,0,1.64,nan
4/2/2021 17:55:56,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,2,2,2,0,nan,0.13
4/2/2021 18:27:20,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,3,2,2,0,nan,0.17
4/2/2021 18:27:21,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,3,2,3,0,0.55,nan
4/2/2021 18:27:54,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,4,2,3,0,nan,0.14
4/2/2021 18:27:57,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,4,2,4,0,1.89,nan
4/2/2021 18:28:33,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,5,2,4,0,nan,0.07
4/2/2021 18:28:34,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,5,2,5,0,0.60,nan
4/2/2021 18:29:15,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,6,2,5,0,nan,0.15
4/2/2021 18:29:17,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,6,2,6,0,0.67,nan
4/2/2021 18:29:48,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,7,2,6,0,nan,0.20
4/2/2021 18:29:49,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,7,2,7,0,0.73,nan
4/2/2021 18:30:18,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,8,2,7,0,nan,0.00
4/2/2021 18:30:20,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,8,2,8,0,0.42,nan
4/2/2021 18:31:07,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,9,2,8,0,nan,0.35
4/2/2021 18:31:09,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,9,2,9,0,0.67,nan
4/2/2021 18:32:17,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,9,3,9,0,nan,0.42
4/2/2021 18:32:29,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,9,4,9,0,nan,0.08
4/2/2021 18:36:03,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,10,4,9,0,nan,0.16
4/2/2021 18:40:01,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,10,4,10,0,Timed_out,nan
4/2/2021 18:47:00,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,10,5,10,0,nan,0.55
4/2/2021 18:59:59,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,11,5,10,0,nan,0.10
4/2/2021 19:00:01,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,11,5,11,0,0.79,nan
4/2/2021 19:01:17,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,12,5,11,0,nan,0.12
4/2/2021 19:01:31,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,12,5,12,0,13.11,nan
4/2/2021 19:09:41,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,13,5,12,0,nan,0.24
4/2/2021 19:09:43,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,13,5,13,0,1.03,nan
4/2/2021 19:18:20,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,14,5,13,0,nan,0.00
4/2/2021 19:18:21,1.4.2,FR1_Rev,5,3.94,2,1,Pellet,Left,14,5,14,0,0.79,nan
4/2/2021 19:19:49,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,15,5,14,0,nan,0.17
4/2/2021 19:19:50,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,15,5,15,0,0.73,nan
4/2/2021 19:20:21,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,16,5,15,0,nan,0.05
4/2/2021 19:20:23,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,16,5,16,0,0.54,nan
4/2/2021 19:37:53,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,16,6,16,0,nan,0.75
4/2/2021 19:37:59,1.4.2,FR1_Rev,5,3.93,1,1,Left,Left,17,6,16,0,nan,0.11
4/2/2021 19:38:23,1.4.2,FR1_Rev,5,3.93,1,1,Pellet,Left,17,6,17,0,23.02,nan
4/2/2021 19:39:40,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,18,6,17,0,nan,0.08
4/2/2021 19:39:42,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,18,6,18,0,0.79,nan
4/2/2021 19:40:11,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,19,6,18,0,nan,0.16
4/2/2021 19:40:13,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,19,6,19,0,0.55,nan
4/2/2021 19:56:23,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,20,6,19,0,nan,0.15
4/2/2021 19:56:25,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,20,6,20,0,1.03,nan
4/2/2021 19:58:18,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,21,6,20,0,nan,0.42
4/2/2021 19:58:20,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,21,6,21,0,0.67,nan
4/2/2021 19:58:54,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,22,6,21,0,nan,0.12
4/2/2021 19:58:55,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,22,6,22,0,0.30,nan
4/2/2021 19:59:31,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,23,6,22,0,nan,0.12
4/2/2021 19:59:32,1.4.2,FR1_Rev,5,3.94,2,1,Pellet,Left,23,6,23,0,0.24,nan
4/2/2021 20:03:08,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,23,7,23,0,nan,0.65
4/2/2021 20:03:11,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,23,8,23,0,nan,0.24
4/2/2021 20:07:37,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,23,9,23,0,nan,0.13
4/2/2021 20:07:41,1.4.2,FR1_Rev,5,3.94,1,1,Right,Left,23,10,23,0,nan,0.27
4/2/2021 20:23:31,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,24,10,23,0,nan,0.13
4/2/2021 20:23:35,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,24,10,24,0,2.50,nan
4/2/2021 20:24:08,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,25,10,24,0,nan,0.10
4/2/2021 20:24:09,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,25,10,25,0,0.36,nan
4/2/2021 20:24:44,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,26,10,25,0,nan,0.11
4/2/2021 20:24:46,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,26,10,26,0,0.48,nan
4/2/2021 20:25:23,1.4.2,FR1_Rev,5,3.94,1,1,Left,Left,27,10,26,0,nan,0.33
4/2/2021 20:25:24,1.4.2,FR1_Rev,5,3.94,1,1,Pellet,Left,27,10,27,0,0.36,nan
