,filename,group,sex,mouse,4hour,Left_Poke_Count,Right_Poke_Count,active_bias
54,SHI_C144_M1_FED006_070820_01.CSV,SHI,M,C144_M1,28,9,2,0.8181818181818182
55,SHI_C144_M1_FED006_070920_01.CSV,SHI,M,C144_M1,28,7,1,0.875
56,SHI_C144_M1_FED006_070920_01.CSV,SHI,M,C144_M1,29,14,3,0.8235294117647058
57,SHI_C144_M1_FED006_071020_00.CSV,SHI,M,C144_M1,29,15,2,0.8823529411764706
58,SHI_C144_M1_FED006_071120_00.CSV,SHI,M,C144_M1,30,13,3,0.8125
59,SHI_C144_M1_FED006_071120_00.CSV,SHI,M,C144_M1,31,15,4,0.7894736842105263
60,SHI_C144_M1_FED006_071220_00.CSV,SHI,M,C144_M1,31,18,5,0.782608695652174
61,SHI_C144_M1_FED006_071420_00.CSV,SHI,M,C144_M1,33,12,3,0.8
62,SHI_C144_M1_FED006_071420_00.CSV,SHI,M,C144_M1,34,15,3,0.8333333333333334
63,SHI_C144_M1_FED006_071520_01.CSV,SHI,M,C144_M1,35,16,3,0.8421052631578947
64,SHI_C144_M1_FED006_071620_01.CSV,SHI,M,C144_M1,35,11,2,0.8461538461538461
65,SHI_C144_M1_FED006_071620_01.CSV,SHI,M,C144_M1,36,18,2,0.9
66,SHI_C144_M1_FED006_071720_01.CSV,SHI,M,C144_M1,36,8,1,0.8888888888888888
67,SHI_C144_M1_FED006_071720_01.CSV,SHI,M,C144_M1,37,13,2,0.8666666666666667
68,SHI_C144_M1_FED006_071820_01.CSV,SHI,M,C144_M1,38,15,2,0.8823529411764706
69,SHI_C144_M1_FED006_071920_01.CSV,SHI,M,C144_M1,38,17,1,0.9444444444444444
70,SHI_C144_M1_FED006_072120_01.CSV,SHI,M,C144_M1,40,12,2,0.8571428571428571
71,SHI_C144_M1_FED006_072120_01.CSV,SHI,M,C144_M1,41,14,2,0.875
72,SHI_C144_M1_FED006_072320_01.CSV,SHI,M,C144_M1,42,5,0,1.0
73,SHI_C144_M1_FED006_072320_01.CSV,SHI,M,C144_M1,43,17,1,0.9444444444444444
74,SHI_C144_M1_FED006_072420_01.CSV,SHI,M,C144_M1,44,13,1,0.9285714285714286
75,SHI_C144_M1_FED006_072520_01.CSV,SHI,M,C144_M1,45,16,0,1.0
76,SHI_C144_M1_FED006_072620_01.CSV,SHI,M,C144_M1,45,11,0,1.0
77,SHI_C144_M1_FED006_072620_01.CSV,SHI,M,C144_M1,46,16,0,1.0
78,SHI_C144_M1_FED006_072720_01.CSV,SHI,M,C144_M1,46,17,4,0.8095238095238095
79,SHI_C145_F1_FED005_061120_00.CSV,SHI,F,C145_F1,1,2,2,0.5
80,SHI_C145_F1_FED005_061220_00.CSV,SHI,F,C145_F1,1,3,6,0.3333333333333333
81,SHI_C145_F1_FED005_061320_00.CSV,SHI,F,C145_F1,2,4,3,0.5714285714285714
82,SHI_C145_F1_FED005_061420_00.CSV,SHI,F,C145_F1,3,6,5,0.5454545454545454
83,SHI_C145_F1_FED005_061720_00.CSV,SHI,F,C145_F1,7,8,5,0.6153846153846154
84,SHI_C145_F1_FED005_061820_00.CSV,SHI,F,C145_F1,7,11,4,0.7333333333333333
85,SHI_C145_F1_FED005_061920_00.CSV,SHI,F,C145_F1,8,10,3,0.7692307692307693
86,SHI_C145_F1_FED005_062020_00.CSV,SHI,F,C145_F1,9,12,5,0.7058823529411765
87,SHI_C145_F1_FED005_062120_00.CSV,SHI,F,C145_F1,10,10,3,0.7692307692307693
88,SHI_C145_F1_FED005_062420_00.CSV,SHI,F,C145_F1,13,12,5,0.7058823529411765
89,SHI_C145_F1_FED005_062520_00.CSV,SHI,F,C145_F1,14,11,4,0.7333333333333333
90,SHI_C145_F1_FED005_062620_00.CSV,SHI,F,C145_F1,15,11,6,0.6470588235294118
91,SHI_C145_F1_FED005_063020_00.CSV,SHI,F,C145_F1,19,7,3,0.7
92,SHI_C145_F1_FED005_070220_00.CSV,SHI,F,C145_F1,21,10,3,0.7692307692307693
