,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,filename,group,sex,MM:DD:YYYY hh:mm:ss,RelativeTime,Errors,Mouse,MotorTurns,RelativeTime2,Retrieval_Time_filt,count,Retrieval_Time_filt_count,Retrieval_Time_filt_sum,Retrieval_Time_filt_percent,Errors_binned,Successes_binned,NewRT,active_bias,active_bias_percent
0.0,1.0,2.0,1.0,299.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-28 18:57:00,0 days 03:58:00,1.0,NaN,NaN,14280.0,NaN,12811.0,0.0,5474.0,0.4273891317926296,2.0,1.0,4.0,0.3333333333333333,33.33333333333333
4.0,47.0,19.0,47.0,529.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-28 22:58:00,0 days 07:59:00,1.0,NaN,NaN,28740.0,10.0,12920.0,1.0,5514.0,0.4272556977833281,17.0,46.0,8.0,0.7301587301587301,73.01587301587301
8.0,72.0,23.0,72.0,354.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-29 00:16:00,0 days 09:17:00,1.0,NaN,NaN,33420.0,4.0,12974.0,1.0,5534.0,0.4268160741885626,4.0,25.0,12.0,0.8620689655172413,86.20689655172413
12.0,105.0,34.0,105.0,33.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-29 05:40:00,0 days 14:41:00,1.0,NaN,NaN,52860.0,3.0,13051.0,1.0,5561.0,0.42662457653218355,11.0,33.0,16.0,0.75,75.0
16.0,120.0,37.0,120.0,23.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-29 09:21:00,0 days 18:22:00,1.0,NaN,NaN,66120.0,6.0,13084.0,1.0,5574.0,0.4261241970021413,3.0,15.0,20.0,0.8333333333333334,83.33333333333334
20.0,145.0,37.0,145.0,7.0,AMY_2M_FR1_chow_CvS.CSV,A,m,2020-01-29 13:09:00,0 days 22:10:00,0.0,NaN,NaN,79800.0,7.0,13134.0,1.0,5599.0,0.42629815745393634,0.0,25.0,24.0,1.0,100.0
0.0,0.0,2.0,0.0,NaN,AMY_2M_FR1_sucrose_CvS.CSV,A,m,2020-01-28 23:09:44,0 days 03:03:01,1.0,NaN,NaN,10981.0,NaN,13568.0,0.0,5681.0,0.4187366403773863,2.0,0.0,4.0,0.0,0.0
4.0,0.0,3.0,0.0,NaN,AMY_2M_FR1_sucrose_CvS.CSV,A,m,2020-01-29 03:13:21,0 days 07:06:38,1.0,NaN,NaN,25598.0,NaN,13569.0,0.0,5681.0,0.4186749207752966,1.0,0.0,8.0,0.0,0.0
8.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.0,NaN,NaN
12.0,0.0,11.0,0.0,NaN,AMY_2M_FR1_sucrose_CvS.CSV,A,m,2020-01-29 11:46:33,0 days 15:39:50,1.0,NaN,NaN,56390.0,NaN,13577.0,0.0,5681.0,0.4186440677966102,NaN,NaN,16.0,NaN,NaN
0.0,0.0,7.0,0.0,NaN,AMY_3F_FR1_chow_CvS.CSV,A,m,2020-02-21 20:36:30,0 days 03:55:07,1.0,NaN,NaN,14107.0,NaN,13968.0,0.0,5764.0,0.412834837415843,7.0,0.0,4.0,0.0,0.0
4.0,24.0,11.0,24.0,420.0,AMY_3F_FR1_chow_CvS.CSV,A,m,2020-02-22 00:39:49,0 days 07:58:26,1.0,NaN,NaN,28706.0,9.0,14020.0,1.0,5781.0,0.4126904642678303,4.0,24.0,8.0,0.8571428571428571,85.71428571428571
8.0,41.0,11.0,40.0,30.0,AMY_3F_FR1_chow_CvS.CSV,A,m,2020-02-22 04:25:14,0 days 11:43:51,0.0,NaN,NaN,42231.0,10.0,14053.0,1.0,5793.0,0.41236451796919565,0.0,17.0,12.0,1.0,100.0
12.0,49.0,15.0,49.0,2854.0,AMY_3F_FR1_chow_CvS.CSV,A,m,2020-02-22 08:41:21,0 days 15:59:58,1.0,NaN,NaN,57598.0,5.0,14074.0,1.0,5799.0,0.4122332859174964,4.0,8.0,16.0,0.6666666666666666,66.66666666666666
16.0,52.0,15.0,52.0,17.0,AMY_3F_FR1_chow_CvS.CSV,A,m,2020-02-22 10:40:36,0 days 17:59:13,0.0,NaN,NaN,64753.0,2.0,14080.0,1.0,5801.0,0.4120488775220233,0.0,3.0,20.0,1.0,100.0
20.0,53.0,15.0,53.0,17.0,AMY_3F_FR1_chow_CvS.CSV,A,m,2020-02-22 13:08:31,0 days 20:27:08,0.0,NaN,NaN,73628.0,NaN,14082.0,0.0,5801.0,0.41197358142177404,0.0,1.0,24.0,1.0,100.0
0.0,29.0,10.0,29.0,135.0,AMY_3F_FR1_sucrose_CvS.CSV,A,m,2020-02-21 20:15:14,0 days 03:58:21,1.0,NaN,NaN,14301.0,9.0,13202.0,1.0,5627.0,0.4263205967422743,10.0,29.0,4.0,0.7435897435897436,74.35897435897436
4.0,46.0,10.0,46.0,555.0,AMY_3F_FR1_sucrose_CvS.CSV,A,m,2020-02-21 22:50:29,0 days 06:33:36,0.0,NaN,NaN,23616.0,10.0,13236.0,1.0,5637.0,0.4261910171930622,0.0,17.0,8.0,1.0,100.0
8.0,53.0,10.0,53.0,25.0,AMY_3F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 04:11:40,0 days 11:54:47,0.0,NaN,NaN,42887.0,10.0,13250.0,1.0,5642.0,0.4258517791040266,0.0,7.0,12.0,1.0,100.0
12.0,64.0,10.0,64.0,80.0,AMY_3F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 07:02:02,0 days 14:45:09,0.0,NaN,NaN,53109.0,9.0,13272.0,1.0,5651.0,0.4258560868909338,0.0,11.0,16.0,1.0,100.0
16.0,68.0,16.0,68.0,10.0,AMY_3F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 10:57:59,0 days 18:41:06,1.0,NaN,NaN,67266.0,10.0,13286.0,1.0,5655.0,0.42582831325301207,6.0,4.0,20.0,0.4,40.0
20.0,71.0,18.0,71.0,13.0,AMY_3F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 14:05:36,0 days 21:48:43,1.0,NaN,NaN,78523.0,1.0,13294.0,1.0,5656.0,0.42564720048163757,2.0,3.0,24.0,0.6,60.0
0.0,15.0,8.0,15.0,1509.0,AMY_4F_FR1_chow_CvS.CSV,A,m,2020-02-21 20:13:39,0 days 03:42:26,1.0,NaN,NaN,13346.0,9.0,13914.0,1.0,5746.0,0.41334582402536574,8.0,15.0,4.0,0.6521739130434783,65.21739130434783
4.0,28.0,8.0,28.0,2228.0,AMY_4F_FR1_chow_CvS.CSV,A,m,2020-02-21 23:09:09,0 days 06:37:56,0.0,NaN,NaN,23876.0,9.0,13940.0,1.0,5755.0,0.4129935391241924,0.0,13.0,8.0,1.0,100.0
8.0,33.0,8.0,33.0,10.0,AMY_4F_FR1_chow_CvS.CSV,A,m,2020-02-22 04:19:05,0 days 11:47:52,0.0,NaN,NaN,42472.0,10.0,13950.0,1.0,5760.0,0.4129032258064516,0.0,5.0,12.0,1.0,100.0
12.0,38.0,9.0,37.0,11.0,AMY_4F_FR1_chow_CvS.CSV,A,m,2020-02-22 04:50:49,0 days 12:19:36,1.0,NaN,NaN,44376.0,3.0,13960.0,1.0,5763.0,0.41291108404384896,1.0,5.0,16.0,0.8333333333333334,83.33333333333334
16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.0,NaN,NaN
20.0,38.0,9.0,38.0,1.0,AMY_4F_FR1_chow_CvS.CSV,A,m,2020-02-22 14:51:31,0 days 22:20:18,0.0,NaN,NaN,80418.0,1.0,13961.0,1.0,5764.0,0.4128644079936967,NaN,NaN,24.0,NaN,NaN
0.0,30.0,7.0,30.0,NaN,AMY_4F_FR1_sucrose_CvS.CSV,A,m,2020-02-21 20:06:00,0 days 03:46:00,1.0,NaN,NaN,13560.0,NaN,13644.0,0.0,5681.0,0.41839740757107086,7.0,30.0,4.0,0.8108108108108109,81.08108108108108
4.0,46.0,15.0,45.0,NaN,AMY_4F_FR1_sucrose_CvS.CSV,A,m,2020-02-21 23:24:00,0 days 07:04:00,1.0,NaN,NaN,25440.0,NaN,13683.0,0.0,5681.0,0.4163429827775742,8.0,16.0,8.0,0.6666666666666666,66.66666666666666
8.0,59.0,16.0,59.0,NaN,AMY_4F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 04:14:00,0 days 11:54:00,1.0,NaN,NaN,42840.0,NaN,13710.0,0.0,5681.0,0.4151563870213388,1.0,13.0,12.0,0.9285714285714286,92.85714285714286
12.0,66.0,16.0,66.0,NaN,AMY_4F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 06:45:00,0 days 14:25:00,0.0,NaN,NaN,51900.0,NaN,13724.0,0.0,5681.0,0.414338852016629,0.0,7.0,16.0,1.0,100.0
16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.0,NaN,NaN
20.0,69.0,16.0,69.0,NaN,AMY_4F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 14:00:00,0 days 21:40:00,0.0,NaN,NaN,78000.0,NaN,13730.0,0.0,5681.0,0.41391621129326045,NaN,NaN,24.0,NaN,NaN
0.0,13.0,4.0,13.0,9.0,AMY_4M_FR1_chow_CvS.CSV,A,m,2020-02-21 19:11:00,0 days 02:45:00,1.0,NaN,NaN,9900.0,9.0,12404.0,1.0,5327.0,0.4294716432380029,4.0,13.0,4.0,0.7647058823529411,76.47058823529412
4.0,22.0,13.0,22.0,761.0,AMY_4M_FR1_chow_CvS.CSV,A,m,2020-02-21 22:09:00,0 days 05:43:00,1.0,NaN,NaN,20580.0,10.0,12431.0,1.0,5335.0,0.42944587628865977,9.0,9.0,8.0,0.5,50.0
8.0,33.0,16.0,33.0,10.0,AMY_4M_FR1_chow_CvS.CSV,A,m,2020-02-22 04:18:00,0 days 11:52:00,1.0,NaN,NaN,42720.0,10.0,12456.0,1.0,5346.0,0.42923732218918265,3.0,11.0,12.0,0.7857142857142857,78.57142857142857
12.0,40.0,23.0,40.0,19.0,AMY_4M_FR1_chow_CvS.CSV,A,m,2020-02-22 07:17:00,0 days 14:51:00,1.0,NaN,NaN,53460.0,9.0,12477.0,1.0,5351.0,0.429156297663964,7.0,7.0,16.0,0.5,50.0
16.0,42.0,23.0,42.0,9.0,AMY_4M_FR1_chow_CvS.CSV,A,m,2020-02-22 10:42:00,0 days 18:16:00,0.0,NaN,NaN,65760.0,9.0,12481.0,1.0,5353.0,0.42889191571188207,0.0,2.0,20.0,1.0,100.0
20.0,45.0,24.0,45.0,2.0,AMY_4M_FR1_chow_CvS.CSV,A,m,2020-02-22 15:06:00,0 days 22:40:00,1.0,NaN,NaN,81600.0,2.0,12488.0,1.0,5356.0,0.42892608312645153,1.0,3.0,24.0,0.75,75.0
0.0,19.0,5.0,19.0,8.0,AMY_4M_FR1_sucrose_CvS.CSV,A,m,2020-02-21 20:30:00,0 days 03:48:00,1.0,NaN,NaN,13680.0,8.0,14125.0,1.0,5820.0,0.4120353982300885,5.0,19.0,4.0,0.7916666666666666,79.16666666666666
4.0,35.0,5.0,35.0,21.0,AMY_4M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 00:36:00,0 days 07:54:00,0.0,NaN,NaN,28440.0,8.0,14157.0,1.0,5835.0,0.4121635939817758,0.0,16.0,8.0,1.0,100.0
8.0,50.0,15.0,50.0,10.0,AMY_4M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 04:36:00,0 days 11:54:00,1.0,NaN,NaN,42840.0,10.0,14197.0,1.0,5850.0,0.4123493338972299,10.0,15.0,12.0,0.6,60.0
12.0,52.0,41.0,52.0,4.0,AMY_4M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 07:28:00,0 days 14:46:00,1.0,NaN,NaN,53160.0,4.0,14227.0,1.0,5852.0,0.4120422535211268,26.0,2.0,16.0,0.07142857142857142,7.142857142857142
16.0,54.0,41.0,54.0,7.0,AMY_4M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 10:55:00,0 days 18:13:00,0.0,NaN,NaN,65580.0,7.0,14231.0,1.0,5854.0,0.41135549153256973,0.0,2.0,20.0,1.0,100.0
20.0,56.0,41.0,56.0,2.0,AMY_4M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 14:14:00,0 days 21:32:00,0.0,NaN,NaN,77520.0,2.0,14235.0,1.0,5856.0,0.4113804004214963,0.0,2.0,24.0,1.0,100.0
0.0,2.0,7.0,2.0,10.0,AMY_5M_FR1_chow_CvS.CSV,A,m,2020-02-21 21:11:00,0 days 03:57:00,1.0,NaN,NaN,14220.0,10.0,13741.0,1.0,5683.0,0.41374790650258503,7.0,2.0,4.0,0.2222222222222222,22.22222222222222
4.0,30.0,17.0,30.0,49.0,AMY_5M_FR1_chow_CvS.CSV,A,m,2020-02-22 00:44:00,0 days 07:30:00,1.0,NaN,NaN,27000.0,10.0,13807.0,1.0,5709.0,0.41378560556642746,10.0,28.0,8.0,0.7368421052631579,73.68421052631578
8.0,44.0,24.0,44.0,31.0,AMY_5M_FR1_chow_CvS.CSV,A,m,2020-02-22 05:10:00,0 days 11:56:00,1.0,NaN,NaN,42960.0,8.0,13842.0,1.0,5722.0,0.41345596755504055,7.0,14.0,12.0,0.6666666666666666,66.66666666666666
12.0,48.0,24.0,48.0,11.0,AMY_5M_FR1_chow_CvS.CSV,A,m,2020-02-22 08:10:00,0 days 14:56:00,0.0,NaN,NaN,53760.0,10.0,13850.0,1.0,5725.0,0.4134170999422299,0.0,4.0,16.0,1.0,100.0
16.0,55.0,24.0,55.0,15.0,AMY_5M_FR1_chow_CvS.CSV,A,m,2020-02-22 12:54:00,0 days 19:40:00,0.0,NaN,NaN,70800.0,10.0,13864.0,1.0,5731.0,0.413382416630576,0.0,7.0,20.0,1.0,100.0
20.0,61.0,24.0,61.0,12.0,AMY_5M_FR1_chow_CvS.CSV,A,m,2020-02-22 15:12:00,0 days 21:58:00,0.0,NaN,NaN,79080.0,9.0,13876.0,1.0,5736.0,0.4134227220299885,0.0,6.0,24.0,1.0,100.0
0.0,21.0,10.0,21.0,NaN,AMY_5M_FR1_sucrose_CvS.CSV,A,m,2020-02-21 21:10:00,0 days 03:56:00,1.0,NaN,NaN,14160.0,NaN,13346.0,0.0,5656.0,0.42542309138773976,10.0,21.0,4.0,0.6774193548387096,67.74193548387096
4.0,40.0,15.0,40.0,NaN,AMY_5M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 00:37:00,0 days 07:23:00,1.0,NaN,NaN,26580.0,NaN,13388.0,0.0,5656.0,0.4237656402187758,5.0,19.0,8.0,0.7916666666666666,79.16666666666666
8.0,62.0,25.0,62.0,NaN,AMY_5M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 04:34:00,0 days 11:20:00,1.0,NaN,NaN,40800.0,NaN,13442.0,0.0,5656.0,0.4224363283292255,10.0,22.0,12.0,0.6875,68.75
12.0,65.0,25.0,65.0,NaN,AMY_5M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 08:04:00,0 days 14:50:00,0.0,NaN,NaN,53400.0,NaN,13448.0,0.0,5656.0,0.4207394182846091,0.0,3.0,16.0,1.0,100.0
16.0,73.0,25.0,72.0,NaN,AMY_5M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 12:50:00,0 days 19:36:00,0.0,NaN,NaN,70560.0,NaN,13463.0,0.0,5656.0,0.420551713882073,0.0,8.0,20.0,1.0,100.0
20.0,75.0,25.0,75.0,NaN,AMY_5M_FR1_sucrose_CvS.CSV,A,m,2020-02-22 15:10:00,0 days 21:56:00,0.0,NaN,NaN,78960.0,NaN,13468.0,0.0,5656.0,0.42008318478906714,0.0,2.0,24.0,1.0,100.0
0.0,17.0,19.0,17.0,959.0,AMY_6F_FR1_chow_CvS.CSV,A,m,2020-02-21 20:34:00,0 days 03:45:00,1.0,NaN,NaN,13500.0,9.0,13521.0,1.0,5669.0,0.41992724032964585,19.0,17.0,4.0,0.4722222222222222,47.22222222222222
4.0,35.0,26.0,34.0,1739.0,AMY_6F_FR1_chow_CvS.CSV,A,m,2020-02-22 00:10:00,0 days 07:21:00,1.0,NaN,NaN,26460.0,3.0,13563.0,1.0,5681.0,0.4192856614656511,7.0,18.0,8.0,0.72,72.0
8.0,36.0,26.0,35.0,588.0,AMY_6F_FR1_chow_CvS.CSV,A,m,2020-02-22 01:46:00,0 days 08:57:00,0.0,NaN,NaN,32220.0,NaN,13565.0,0.0,5681.0,0.41882925390740194,0.0,1.0,12.0,1.0,100.0
12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.0,NaN,NaN
16.0,36.0,26.0,36.0,11.0,AMY_6F_FR1_chow_CvS.CSV,A,m,2020-02-22 10:05:00,0 days 17:16:00,0.0,NaN,NaN,62160.0,NaN,13566.0,0.0,5681.0,0.41876750700280113,NaN,NaN,20.0,NaN,NaN
0.0,31.0,20.0,31.0,835.0,AMY_6F_FR1_sucrose_CvS.CSV,A,m,2020-02-21 20:45:00,0 days 03:55:00,1.0,NaN,NaN,14100.0,10.0,12570.0,1.0,5381.0,0.4288573945071663,20.0,31.0,4.0,0.6078431372549019,60.78431372549019
4.0,68.0,35.0,68.0,12.0,AMY_6F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 00:31:00,0 days 07:41:00,1.0,NaN,NaN,27660.0,10.0,12659.0,1.0,5416.0,0.42804868347784586,15.0,37.0,8.0,0.7115384615384616,71.15384615384616
8.0,99.0,39.0,99.0,21.0,AMY_6F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 04:34:00,0 days 11:44:00,1.0,NaN,NaN,42240.0,10.0,12725.0,1.0,5442.0,0.42803119829827463,4.0,31.0,12.0,0.8857142857142857,88.57142857142857
12.0,120.0,39.0,120.0,1152.0,AMY_6F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 08:35:00,0 days 15:45:00,0.0,NaN,NaN,56700.0,10.0,12767.0,1.0,5457.0,0.4277415809718188,0.0,21.0,16.0,1.0,100.0
16.0,133.0,39.0,133.0,16.0,AMY_6F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 12:49:00,0 days 19:59:00,0.0,NaN,NaN,71940.0,5.0,12793.0,1.0,5468.0,0.4275549300179842,0.0,13.0,20.0,1.0,100.0
20.0,140.0,39.0,140.0,21.0,AMY_6F_FR1_sucrose_CvS.CSV,A,m,2020-02-22 15:20:00,0 days 22:30:00,0.0,NaN,NaN,81000.0,2.0,12807.0,1.0,5474.0,0.4274779348590174,0.0,7.0,24.0,1.0,100.0
0.0,8.0,46.0,8.0,223.0,BRI_FED014_121118_00.CSV,B,m,2018-12-12 01:55:05,0 days 03:16:30,17.0,NaN,NaN,11790.0,9.0,15527.0,1.0,6280.0,0.40457474226804124,46.0,8.0,4.0,0.14814814814814814,14.814814814814813
4.0,9.0,87.0,9.0,11.0,BRI_FED014_121118_00.CSV,B,m,2018-12-12 06:17:21,0 days 07:38:46,41.0,NaN,NaN,27526.0,NaN,15528.0,0.0,6280.0,0.40443070582174134,41.0,1.0,8.0,0.023809523809523808,2.380952380952381
8.0,10.0,126.0,10.0,11.0,BRI_FED014_121118_00.CSV,B,m,2018-12-12 07:09:43,0 days 08:31:08,39.0,NaN,NaN,30668.0,NaN,15529.0,0.0,6280.0,0.40440466224483224,39.0,1.0,12.0,0.025,2.5
12.0,11.0,148.0,11.0,9.0,BRI_FED014_121118_00.CSV,B,m,2018-12-12 14:36:58,0 days 15:58:23,22.0,NaN,NaN,57503.0,9.0,15530.0,1.0,6281.0,0.40444301352221507,22.0,1.0,16.0,0.043478260869565216,4.3478260869565215
0.0,21.0,44.0,21.0,384.0,BRI_FED019_121118_00.CSV,B,m,2018-12-11 17:48:17,0 days 03:32:15,9.0,NaN,NaN,12735.0,5.0,15681.0,1.0,6377.0,0.4067168943940748,44.0,21.0,4.0,0.3230769230769231,32.30769230769231
4.0,46.0,100.0,44.0,55.0,BRI_FED019_121118_00.CSV,B,m,2018-12-11 21:59:55,0 days 07:43:53,25.0,NaN,NaN,27833.0,7.0,15704.0,1.0,6393.0,0.40709373408048904,56.0,25.0,8.0,0.30864197530864196,30.864197530864196
8.0,63.0,100.0,61.0,9.0,BRI_FED019_121118_00.CSV,B,m,2018-12-12 01:54:45,0 days 11:38:43,0.0,NaN,NaN,41923.0,9.0,15721.0,1.0,6410.0,0.40773487691622673,0.0,17.0,12.0,1.0,100.0
12.0,80.0,105.0,77.0,615.0,BRI_FED019_121118_00.CSV,B,m,2018-12-12 05:47:23,0 days 15:31:21,2.0,NaN,NaN,55881.0,10.0,15737.0,1.0,6423.0,0.4081464065577937,5.0,17.0,16.0,0.7727272727272727,77.27272727272727
16.0,98.0,107.0,95.0,2912.0,BRI_FED019_121118_00.CSV,B,m,2018-12-12 10:12:24,0 days 19:56:22,1.0,NaN,NaN,71782.0,7.0,15755.0,1.0,6436.0,0.40850523643287845,2.0,18.0,20.0,0.9,90.0
20.0,105.0,112.0,102.0,100.0,BRI_FED019_121118_00.CSV,B,m,2018-12-12 14:15:53,0 days 23:59:51,4.0,NaN,NaN,86391.0,8.0,15762.0,1.0,6442.0,0.40870447912701435,5.0,7.0,24.0,0.5833333333333334,58.333333333333336
24.0,109.0,112.0,106.0,4.0,BRI_FED019_121118_00.CSV,B,m,2018-12-12 14:44:48,1 days 00:28:46,0.0,NaN,NaN,88126.0,4.0,15766.0,1.0,6446.0,0.4088544970189014,0.0,4.0,28.0,1.0,100.0
0.0,24.0,18.0,22.0,428.0,BRI_FED021_112318_00.CSV,B,m,2018-11-23 14:55:46,0 days 03:30:27,4.0,NaN,NaN,12627.0,9.0,15906.0,1.0,6543.0,0.41136850056653657,18.0,24.0,4.0,0.5714285714285714,57.14285714285714
4.0,56.0,39.0,51.0,177.0,BRI_FED021_112318_00.CSV,B,m,2018-11-23 18:43:46,0 days 07:18:27,13.0,NaN,NaN,26307.0,7.0,15935.0,1.0,6568.0,0.412200326346178,21.0,32.0,8.0,0.6037735849056604,60.37735849056604
8.0,74.0,41.0,69.0,2948.0,BRI_FED021_112318_00.CSV,B,m,2018-11-23 22:20:36,0 days 10:55:17,2.0,NaN,NaN,39317.0,8.0,15953.0,1.0,6581.0,0.4125909204915977,2.0,18.0,12.0,0.9,90.0
12.0,95.0,44.0,89.0,1327.0,BRI_FED021_112318_00.CSV,B,m,2018-11-24 03:10:20,0 days 15:45:01,2.0,NaN,NaN,56701.0,8.0,15973.0,1.0,6592.0,0.4127222639619334,3.0,21.0,16.0,0.875,87.5
16.0,112.0,46.0,106.0,1994.0,BRI_FED021_112318_00.CSV,B,m,2018-11-24 06:52:42,0 days 19:27:23,1.0,NaN,NaN,70043.0,7.0,15990.0,1.0,6605.0,0.41307066916823015,2.0,17.0,20.0,0.8947368421052632,89.47368421052632
20.0,125.0,46.0,119.0,14.0,BRI_FED021_112318_00.CSV,B,m,2018-11-24 11:00:24,0 days 23:35:05,0.0,NaN,NaN,84905.0,7.0,16003.0,1.0,6617.0,0.41348497156783104,0.0,13.0,24.0,1.0,100.0
24.0,131.0,47.0,125.0,6.0,BRI_FED021_112318_00.CSV,B,m,2018-11-24 13:14:17,1 days 01:48:58,1.0,NaN,NaN,92938.0,6.0,16009.0,1.0,6623.0,0.41370479105503155,1.0,6.0,28.0,0.8571428571428571,85.71428571428571
0.0,11.0,25.0,11.0,370.0,BRI_FED028_121218_00.CSV,B,m,2018-12-12 17:47:39,0 days 02:56:22,8.0,NaN,NaN,10582.0,9.0,15328.0,1.0,6153.0,0.4014231622927275,25.0,11.0,4.0,0.3055555555555556,30.555555555555557
4.0,39.0,40.0,38.0,2144.0,BRI_FED028_121218_00.CSV,B,m,2018-12-12 22:47:55,0 days 07:56:38,4.0,NaN,NaN,28598.0,9.0,15355.0,1.0,6167.0,0.40162813415825466,15.0,28.0,8.0,0.6511627906976745,65.11627906976744
8.0,65.0,59.0,64.0,1784.0,BRI_FED028_121218_00.CSV,B,m,2018-12-13 02:35:55,0 days 11:44:38,8.0,NaN,NaN,42278.0,7.0,15381.0,1.0,6185.0,0.40217179270433706,19.0,26.0,12.0,0.5777777777777777,57.77777777777777
12.0,86.0,64.0,85.0,1821.0,BRI_FED028_121218_00.CSV,B,m,2018-12-13 06:46:54,0 days 15:55:37,1.0,NaN,NaN,57337.0,10.0,15402.0,1.0,6204.0,0.40280483054148813,5.0,21.0,16.0,0.8076923076923077,80.76923076923077
16.0,100.0,68.0,99.0,11.0,BRI_FED028_121218_00.CSV,B,m,2018-12-13 10:26:13,0 days 19:34:56,2.0,NaN,NaN,70496.0,5.0,15416.0,1.0,6216.0,0.40324359390204345,4.0,14.0,20.0,0.7777777777777778,77.77777777777779
20.0,104.0,71.0,103.0,27.0,BRI_FED028_121218_00.CSV,B,m,2018-12-13 13:39:14,0 days 22:47:57,2.0,NaN,NaN,82077.0,2.0,15420.0,1.0,6217.0,0.40322999091970424,3.0,4.0,24.0,0.5714285714285714,57.14285714285714
24.0,110.0,72.0,109.0,8.0,BRI_FED028_121218_00.CSV,B,m,2018-12-13 16:45:30,1 days 01:54:13,1.0,NaN,NaN,93253.0,8.0,15426.0,1.0,6223.0,0.40340982756385324,1.0,6.0,28.0,0.8571428571428571,85.71428571428571
0.0,12.0,46.0,12.0,3012.0,BRI_FED032_121218_00.CSV,B,m,2018-12-12 18:53:08,0 days 03:59:59,19.0,NaN,NaN,14399.0,10.0,15213.0,1.0,6063.0,0.39859312339754127,46.0,12.0,4.0,0.20689655172413793,20.689655172413794
4.0,42.0,61.0,41.0,2662.0,BRI_FED032_121218_00.CSV,B,m,2018-12-12 22:41:41,0 days 07:48:32,3.0,NaN,NaN,28112.0,8.0,15242.0,1.0,6085.0,0.3992258233827582,15.0,30.0,8.0,0.6666666666666666,66.66666666666666
8.0,60.0,65.0,58.0,168.0,BRI_FED032_121218_00.CSV,B,m,2018-12-13 02:01:41,0 days 11:08:32,2.0,NaN,NaN,40112.0,10.0,15259.0,1.0,6100.0,0.3997902739546467,4.0,18.0,12.0,0.8181818181818182,81.81818181818183
12.0,90.0,73.0,88.0,464.0,BRI_FED032_121218_00.CSV,B,m,2018-12-13 06:32:47,0 days 15:39:38,2.0,NaN,NaN,56378.0,4.0,15289.0,1.0,6122.0,0.40041860160899995,8.0,30.0,16.0,0.7894736842105263,78.94736842105263
16.0,99.0,78.0,97.0,1355.0,BRI_FED032_121218_00.CSV,B,m,2018-12-13 10:52:42,0 days 19:59:33,4.0,NaN,NaN,71973.0,3.0,15298.0,1.0,6130.0,0.4007059746372075,5.0,9.0,20.0,0.6428571428571429,64.28571428571429
20.0,109.0,82.0,107.0,3.0,BRI_FED032_121218_00.CSV,B,m,2018-12-13 13:43:47,0 days 22:50:38,3.0,NaN,NaN,82238.0,3.0,15308.0,1.0,6140.0,0.40109746537758034,4.0,10.0,24.0,0.7142857142857143,71.42857142857143
24.0,118.0,86.0,116.0,7.0,BRI_FED032_121218_00.CSV,B,m,2018-12-13 16:54:12,1 days 02:01:03,4.0,NaN,NaN,93663.0,7.0,15317.0,1.0,6149.0,0.4014493699810668,4.0,9.0,28.0,0.6923076923076923,69.23076923076923
0.0,28.0,93.0,27.0,80.0,BRI_FED033_121218_00.CSV,B,m,2018-12-12 19:32:05,0 days 03:49:39,57.0,NaN,NaN,13779.0,10.0,15557.0,1.0,6304.0,0.4052195153307193,93.0,28.0,4.0,0.23140495867768596,23.140495867768596
