MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
8/18/2019,9:38:08,25,4.13,1,1,Left,1,0,1,21
8/18/2019,9:40:06,25,4.13,1,1,Left,2,1,2,2
8/18/2019,9:43:02,25,4.12,1,1,Left,3,2,3,9
8/18/2019,9:47:32,25,4.12,1,1,Left,4,2,4,4
8/18/2019,9:48:47,25,4.12,1,1,Left,5,4,5,2
8/18/2019,9:49:18,25,4.13,2,1,Left,6,4,6,8
8/18/2019,9:49:55,25,4.12,1,1,Left,7,4,7,3
8/18/2019,9:50:44,25,4.12,1,1,Left,8,4,8,2
8/18/2019,9:51:08,25,4.12,2,1,Left,9,4,9,7
8/18/2019,9:53:49,25,4.13,2,1,Left,10,6,10,15
8/18/2019,9:59:48,25,4.14,1,1,Left,11,6,11,1
8/18/2019,10:09:27,25,4.12,2,1,Left,12,7,12,3
8/18/2019,11:41:09,25,4.12,1,1,Left,13,7,13,1
8/18/2019,11:46:38,25,4.11,2,1,Left,14,8,14,12
8/18/2019,11:55:11,25,4.12,1,1,Left,15,8,15,113
8/18/2019,12:23:29,25,4.11,1,1,Left,16,9,16,2
8/18/2019,12:24:01,25,4.11,2,1,Left,17,9,17,6
8/18/2019,12:46:58,25,4.07,1,1,Left,18,9,18,1
8/18/2019,12:47:14,25,4.09,1,1,Left,19,9,19,2
8/18/2019,12:47:58,25,4.08,1,1,Left,20,9,20,1
8/18/2019,13:15:58,25,4.09,1,1,Left,21,9,21,2
8/18/2019,13:31:16,25,4.08,1,1,Left,22,9,22,7
8/18/2019,14:06:05,25,4.08,1,1,Left,23,9,23,3
8/18/2019,14:06:46,25,4.08,2,1,Left,24,9,24,18
8/18/2019,14:07:11,25,4.08,1,1,Left,25,9,25,5
8/18/2019,14:22:56,25,4.08,1,1,Left,26,9,26,2
8/18/2019,14:45:10,25,4.08,1,1,Left,27,9,27,2
8/18/2019,14:58:07,25,4.07,1,1,Left,28,9,28,86
8/18/2019,15:00:54,25,4.07,2,1,Left,29,9,29,19
8/18/2019,15:03:38,25,4.08,1,1,Left,30,9,30,25
8/18/2019,15:04:00,25,4.07,1,1,Left,31,9,31,2
8/18/2019,15:10:50,25,4.07,1,1,Left,32,9,32,20
8/18/2019,15:17:19,25,4.07,2,1,Left,33,9,33,16
8/18/2019,15:47:49,25,4.07,2,1,Left,34,9,34,22
8/18/2019,15:51:33,25,4.07,1,1,Left,35,9,35,2
8/18/2019,15:53:17,25,4.07,1,1,Left,36,10,36,2
8/18/2019,16:02:23,25,4.07,1,1,Left,37,11,37,2
8/18/2019,16:07:11,25,4.07,1,1,Left,38,11,38,2
8/18/2019,16:15:10,25,4.07,1,1,Left,39,12,39,2
8/18/2019,16:15:37,25,4.07,1,1,Left,40,12,40,1
8/18/2019,16:24:04,25,4.07,3,1,Left,41,12,41,51
8/18/2019,16:37:24,25,4.07,1,1,Left,42,12,42,2
8/18/2019,16:53:16,25,4.07,2,1,Left,43,13,43,19
8/18/2019,16:59:48,25,4.06,1,1,Left,44,13,44,2
8/18/2019,17:28:25,25,4.07,2,1,Left,45,13,45,15
8/18/2019,17:29:01,25,4.06,2,1,Left,46,13,46,18
8/18/2019,17:34:43,25,4.06,1,1,Left,47,16,47,1
8/18/2019,17:50:58,25,4.06,1,1,Left,48,18,48,24
8/18/2019,18:40:00,25,4.06,1,1,Left,49,20,49,1096
