MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
7/26/2019,11:05:53,16,4.05,1,1,Left,1,0,1,57
7/26/2019,11:11:35,16,4.05,1,1,Left,2,2,2,1
7/26/2019,11:13:50,16,4.05,1,1,Left,3,5,3,7
7/26/2019,11:15:01,16,4.05,1,1,Left,4,7,4,2
7/26/2019,11:16:59,16,4.05,1,1,Left,5,7,5,60
7/26/2019,11:18:21,16,4.05,1,1,Left,6,14,6,3
7/26/2019,11:24:56,16,4.05,1,1,Left,7,15,7,3
7/26/2019,11:30:36,16,4.05,1,1,Left,8,17,8,3
7/26/2019,11:38:18,16,4.04,1,1,Left,9,21,9,2
7/26/2019,11:49:58,16,4.04,1,1,Left,10,22,10,150
7/26/2019,12:05:58,16,4.04,1,1,Left,11,23,11,3
7/26/2019,12:09:45,16,4.03,1,1,Left,12,23,12,6
7/26/2019,12:13:38,16,4.03,1,1,Left,13,23,13,3
7/26/2019,15:21:55,16,3.99,1,1,Left,14,25,14,136
7/26/2019,15:23:15,16,3.99,2,1,Left,15,26,15,2
7/26/2019,15:30:31,16,3.99,1,1,Left,16,33,16,4
7/26/2019,15:33:52,16,3.98,1,1,Left,17,33,17,2
7/26/2019,15:44:53,16,3.98,1,1,Left,18,45,18,5
7/26/2019,15:49:57,16,3.98,1,1,Left,19,45,19,2
7/26/2019,16:36:25,16,3.97,1,1,Left,20,45,20,3
7/26/2019,16:38:07,16,3.97,1,1,Left,21,45,21,2
7/26/2019,16:41:43,16,3.97,2,1,Left,22,45,22,114
7/26/2019,16:47:41,16,3.96,1,1,Left,23,46,23,2
7/26/2019,16:48:56,16,3.96,1,1,Left,24,46,24,2
7/26/2019,17:05:15,16,3.96,1,1,Left,25,46,25,1
7/26/2019,17:12:49,16,3.96,1,1,Left,26,46,26,3
7/26/2019,17:16:58,16,3.96,1,1,Left,27,46,27,2
7/26/2019,17:26:59,16,3.96,1,1,Left,28,46,28,5
7/26/2019,17:57:33,16,3.95,1,1,Left,29,46,29,10
7/26/2019,17:59:09,16,3.95,1,1,Left,30,46,30,3
7/26/2019,18:03:16,16,3.94,1,1,Left,31,46,31,2
