MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Session_Type, Event, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time,,,,,,,,,,
2/21/2020 21:17,0,4.14,4,1,Pellet,Left,24,10,24,8,,,,,,,,,,
2/21/2020 21:17,0,4.14,0,1,Poke,Left,25,10,24,nan,,,,,,,,,,
2/21/2020 21:17,0,4.14,2,1,Pellet,Left,25,10,25,1,,,,,,,,,,
2/21/2020 21:24,0,4.14,0,1,Poke,Left,26,10,25,nan,,,,,,,,,,
2/21/2020 21:24,0,4.14,2,1,Pellet,Left,26,10,26,2,,,,,,,,,,
2/21/2020 21:24,0,4.14,0,1,Poke,Left,27,10,26,nan,,,,,,,,,,
2/21/2020 21:24,0,4.13,2,1,Pellet,Left,27,10,27,3,,,,,,,,,,
2/21/2020 21:31,0,4.14,0,1,Poke,Left,28,10,27,nan,,,,,,,,,,
2/21/2020 21:31,0,4.13,2,1,Pellet,Left,28,10,28,6,,,,,,,,,,
2/21/2020 21:35,0,4.14,0,1,Poke,Left,29,10,28,nan,,,,,,,,,,
2/21/2020 21:35,0,4.14,3,1,Pellet,Left,29,10,29,1,,,,,,,,,,
2/21/2020 21:35,0,4.14,0,1,Poke,Left,30,10,29,nan,,,,,,,,,,
2/21/2020 21:35,0,4.13,2,1,Pellet,Left,30,10,30,2,,,,,,,,,,
2/21/2020 21:36,0,4.14,0,1,Poke,Left,31,10,30,nan,,,,,,,,,,
2/21/2020 21:36,0,4.13,2,1,Pellet,Left,31,10,31,2,,,,,,,,,,
2/21/2020 21:36,0,4.14,0,1,Poke,Left,32,10,31,nan,,,,,,,,,,
2/21/2020 21:36,0,4.13,2,1,Pellet,Left,32,10,32,1,,,,,,,,,,
2/21/2020 21:42,0,4.14,0,1,Poke,Left,32,11,32,nan,,,,,,,,,,
2/21/2020 22:08,0,4.13,0,1,Poke,Left,32,12,32,nan,,,,,,,,,,
2/21/2020 22:30,0,4.13,0,1,Poke,Left,33,12,32,nan,,,,,,,,,,
2/21/2020 22:30,0,4.12,2,1,Pellet,Left,33,12,33,2,,,,,,,,,,
2/21/2020 22:30,0,4.13,0,1,Poke,Left,34,12,33,nan,,,,,,,,,,
2/21/2020 22:30,0,4.12,2,1,Pellet,Left,34,12,34,2,,,,,,,,,,
2/21/2020 22:44,0,4.13,0,1,Poke,Left,34,13,34,nan,,,,,,,,,,
2/21/2020 22:44,0,4.13,0,1,Poke,Left,34,14,34,nan,,,,,,,,,,
2/21/2020 22:45,0,4.13,0,1,Poke,Left,34,15,34,nan,,,,,,,,,,
2/21/2020 22:58,0,4.13,0,1,Poke,Left,35,15,34,nan,,,,,,,,,,
