MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Target_Sequence, Mouse_Sequence, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
9/24/2019 14:01,1,3.72,1448297262,R,,1,0,0,0
9/24/2019 14:09,1,3.72,0,R,,1,1,0,0
9/24/2019 14:11,1,3.72,0,R,,1,2,1,0
9/24/2019 14:11,1,3.72,0,R,,1,3,2,0
9/24/2019 14:11,1,3.72,0,R,,1,4,3,0
9/24/2019 14:12,1,3.72,0,R,,1,5,4,0
9/24/2019 14:12,1,3.72,0,R,,1,6,5,0
9/24/2019 14:13,1,3.72,0,R,,1,7,6,0
9/24/2019 14:13,1,3.72,0,R,,2,7,7,0
9/24/2019 14:27,1,3.72,0,R,,3,7,7,0
9/24/2019 14:27,1,3.72,0,R,,4,7,7,0
9/24/2019 14:27,1,3.72,0,R,,5,7,7,0
9/24/2019 14:27,1,3.72,0,R,,6,7,7,0
9/24/2019 14:27,1,3.72,0,R,,7,7,7,0
9/24/2019 14:28,1,3.72,0,R,,7,8,7,0
9/24/2019 14:28,1,3.72,0,R,,7,9,8,0
9/24/2019 14:30,1,3.72,0,R,,8,9,9,0
9/24/2019 14:30,1,3.72,0,R,,8,10,9,0
9/24/2019 14:31,1,3.72,0,R,,8,11,10,0
9/24/2019 14:33,1,3.72,0,R,,9,11,11,0
9/24/2019 14:33,1,3.72,0,R,,9,12,11,0
9/24/2019 14:34,1,3.72,0,R,,9,13,12,0
9/24/2019 14:34,1,3.72,0,R,,9,14,13,0
9/24/2019 14:37,1,3.72,0,R,,9,15,14,0
9/24/2019 14:38,1,3.72,0,R,,9,16,15,0
9/24/2019 14:38,1,3.72,0,R,,9,17,16,0
9/24/2019 14:38,1,3.72,0,R,,9,18,17,0
9/24/2019 14:48,1,3.72,0,R,,10,18,18,0
9/24/2019 14:49,1,3.72,0,R,,11,18,18,0
9/24/2019 14:50,1,3.72,0,R,,11,19,18,0
9/24/2019 14:51,1,3.72,0,R,,12,19,19,0
9/24/2019 14:52,1,3.72,0,R,,12,20,19,0
9/24/2019 14:52,1,3.72,0,R,,12,21,20,0
9/24/2019 14:54,1,3.72,0,R,,12,22,21,0
9/24/2019 15:01,1,3.72,0,R,,13,22,22,0
9/24/2019 15:08,1,3.72,0,R,,13,23,22,0
9/24/2019 15:08,1,3.72,0,R,,13,24,23,0
9/24/2019 15:08,1,3.72,0,R,,13,25,24,0
9/24/2019 15:08,1,3.72,0,R,,13,26,25,0
9/24/2019 15:08,1,3.72,0,R,,13,27,26,0
9/24/2019 15:09,1,3.72,0,R,,13,28,27,0
9/24/2019 15:09,1,3.72,0,R,,13,29,28,0
9/24/2019 15:09,1,3.72,0,R,,13,30,29,0
9/24/2019 15:09,1,3.72,0,R,,13,31,30,0
9/24/2019 15:09,1,3.72,0,R,,13,32,31,0
9/24/2019 15:10,1,3.72,0,R,,13,33,32,0
9/24/2019 15:10,1,3.72,0,R,,13,34,33,0
9/24/2019 15:10,1,3.72,0,R,,13,35,34,0
9/24/2019 15:11,1,3.72,0,R,,13,36,35,0
9/24/2019 15:27,1,3.72,0,R,,14,36,36,0
9/24/2019 15:27,1,3.72,0,R,,15,36,36,0
9/24/2019 15:27,1,3.72,0,R,,15,37,36,0
9/24/2019 15:35,1,3.72,0,R,,15,38,37,0
9/24/2019 15:36,1,3.72,0,R,,16,38,38,0
