MM:DD:YYYY, hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
7/26/2019,10:50:06,27,4.12,1,1,Left,1,0,1,2
7/26/2019,10:53:55,27,4.12,1,1,Left,2,7,2,32
7/26/2019,10:55:06,27,4.12,1,1,Left,3,7,3,2
7/26/2019,10:57:20,27,4.12,1,1,Left,4,8,4,8
7/26/2019,10:59:28,27,4.12,1,1,Left,5,8,5,72
7/26/2019,11:01:25,27,4.11,1,1,Left,6,13,6,9
7/26/2019,11:02:52,27,4.12,1,1,Left,7,13,7,2
7/26/2019,11:08:51,27,4.11,1,1,Left,8,16,8,2
7/26/2019,11:10:17,27,4.11,1,1,Left,9,17,9,3
7/26/2019,11:18:54,27,4.11,1,1,Left,10,20,10,1
7/26/2019,11:25:58,27,4.11,1,1,Left,11,20,11,2
7/26/2019,11:38:17,27,4.11,4,1,Left,12,22,12,60
7/26/2019,11:39:22,27,4.11,1,1,Left,13,22,13,2
7/26/2019,11:40:28,27,4.11,1,1,Left,14,23,14,5
7/26/2019,11:52:49,27,4.09,1,1,Left,15,23,15,4
7/26/2019,11:54:40,27,4.10,1,1,Left,16,25,16,2
7/26/2019,12:03:25,27,4.09,1,1,Left,17,25,17,3
7/26/2019,13:06:56,27,4.07,1,1,Left,18,26,18,3
7/26/2019,13:12:40,27,4.07,1,1,Left,19,29,19,2
7/26/2019,13:45:55,27,4.07,1,1,Left,20,31,20,1651
7/26/2019,13:47:42,27,4.07,1,1,Left,21,34,21,2
7/26/2019,13:48:44,27,4.06,2,1,Left,22,34,22,18
7/26/2019,14:14:02,27,4.07,2,1,Left,23,34,23,1452
7/26/2019,14:46:22,27,4.05,1,1,Left,24,34,24,332
7/26/2019,14:54:37,27,4.05,1,1,Left,25,34,25,382
7/26/2019,15:09:04,27,4.05,1,1,Left,26,34,26,459
7/26/2019,15:23:45,27,4.05,1,1,Left,27,34,27,218
7/26/2019,15:31:30,27,4.05,1,1,Left,28,34,28,298
7/26/2019,15:41:45,27,4.05,1,1,Left,29,34,29,123
7/26/2019,15:50:40,27,4.04,1,1,Left,30,62,30,3
7/26/2019,15:56:59,27,4.05,1,1,Left,31,151,31,6
7/26/2019,16:00:29,27,4.04,1,1,Left,32,158,32,16
7/26/2019,16:57:15,27,4.03,1,1,Left,33,160,33,66
7/26/2019,17:11:16,27,4.03,1,1,Left,34,163,34,1
7/26/2019,17:11:58,27,4.03,1,1,Left,35,163,35,5
7/26/2019,17:13:11,27,4.03,1,1,Left,36,163,36,2
7/26/2019,17:25:42,27,4.03,1,1,Left,37,163,37,47
7/26/2019,17:56:44,27,4.03,1,1,Left,38,174,38,4
7/26/2019,18:03:58,27,4.03,1,1,Left,39,174,39,3
7/26/2019,18:19:50,27,4.03,1,1,Left,40,175,40,1
7/26/2019,18:21:37,27,4.03,1,1,Left,41,175,41,2
7/26/2019,18:24:12,27,4.03,1,1,Left,42,181,42,13
