MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/17/2019 16:01:08,0,4.04,1,1,Left,1,2,1,16
6/17/2019 17:34:54,0,4.03,2,1,Left,2,6,2,18
6/17/2019 18:11:29,0,4.03,1,1,Left,3,7,3,32
6/17/2019 18:30:25,0,4.03,2,1,Left,4,8,4,20
6/17/2019 18:49:03,0,4.03,1,1,Left,5,16,5,9
6/17/2019 19:10:54,0,4.03,1,1,Left,6,16,6,8
6/17/2019 19:13:11,0,4.03,1,1,Left,7,16,7,16
6/17/2019 19:14:54,0,4.03,1,1,Left,8,17,8,12
6/17/2019 19:37:33,0,4.03,1,1,Left,9,18,9,4
6/17/2019 19:44:59,0,4.03,2,1,Left,10,19,10,69
6/17/2019 20:15:37,0,4.03,1,1,Left,11,21,11,2
6/17/2019 20:18:19,0,4.03,1,1,Left,12,22,12,2
6/17/2019 20:29:52,0,4.03,1,1,Left,13,25,13,3
6/17/2019 20:33:10,0,4.03,1,1,Left,14,25,14,3
6/17/2019 20:34:06,0,4.03,2,1,Left,15,25,15,8
6/17/2019 20:40:12,0,4.03,1,1,Left,16,26,16,2
6/17/2019 20:42:00,0,4.03,2,1,Left,17,26,17,24
6/17/2019 20:43:33,0,4.03,1,1,Left,18,26,18,3
6/17/2019 20:45:05,0,4.02,2,1,Left,19,26,19,13
6/17/2019 20:48:58,0,4.03,1,1,Left,20,26,20,2
6/17/2019 22:12:58,0,4.02,1,1,Left,21,26,21,288
6/17/2019 22:18:57,0,4.02,1,1,Left,22,26,22,6
6/17/2019 22:24:49,0,4.02,1,1,Left,23,26,23,2
6/17/2019 22:37:17,0,4.02,1,1,Left,24,27,24,1
6/17/2019 22:38:18,0,4.02,2,1,Left,25,27,25,22
6/17/2019 22:48:01,0,4.03,1,1,Left,26,27,26,8
6/17/2019 22:59:25,0,4.02,2,1,Left,27,31,27,16
6/17/2019 22:59:56,0,4.03,1,1,Left,28,31,28,2
6/17/2019 23:00:39,0,4.02,1,1,Left,29,31,29,4
6/17/2019 23:01:14,0,4.02,2,1,Left,30,31,30,11
6/18/2019 0:21:54,0,4.02,1,1,Left,31,31,31,140
6/18/2019 0:25:49,0,4.02,2,1,Left,32,31,32,2
6/18/2019 0:27:24,0,4.02,1,1,Left,33,31,33,2
6/18/2019 0:28:43,0,4.02,2,1,Left,34,31,34,71
6/18/2019 0:29:12,0,4.02,1,1,Left,35,31,35,2
6/18/2019 0:29:44,0,4.02,1,1,Left,36,31,36,1
6/18/2019 0:52:14,0,4.02,1,1,Left,37,32,37,210
6/18/2019 0:53:43,0,4.02,2,1,Left,38,32,38,16
6/18/2019 1:04:36,0,4.02,2,1,Left,39,32,39,28
6/18/2019 1:22:18,0,4.02,1,1,Left,40,32,40,516
6/18/2019 1:38:04,0,4.02,2,1,Left,41,32,41,35
6/18/2019 1:38:39,0,4.02,1,1,Left,42,32,42,2
6/18/2019 2:29:46,0,4.02,1,1,Left,43,34,43,322
6/18/2019 2:35:36,0,4.02,1,1,Left,44,34,44,242
6/18/2019 2:36:11,0,4.02,1,1,Left,45,34,45,2
6/18/2019 2:36:35,0,4.02,1,1,Left,46,34,46,2
6/18/2019 2:37:14,0,4.02,2,1,Left,47,34,47,9
6/18/2019 2:37:57,0,4.02,1,1,Left,48,34,48,16
6/18/2019 3:26:21,0,4.02,1,1,Left,49,35,49,2
6/18/2019 3:39:18,0,4.02,1,1,Left,50,35,50,78
6/18/2019 4:25:49,0,4.01,1,1,Left,51,35,51,2689
6/18/2019 4:31:18,0,4.01,2,1,Left,52,35,52,15
6/18/2019 4:32:01,0,4.01,1,1,Left,53,35,53,2
6/18/2019 4:33:09,0,4.02,1,1,Left,54,35,54,3
6/18/2019 4:41:35,0,4.02,1,1,Left,55,37,55,459
6/18/2019 4:42:30,0,4.02,1,1,Left,56,37,56,3
6/18/2019 7:04:42,0,4.01,2,1,Left,57,38,57,1
6/18/2019 7:10:23,0,4.01,1,1,Left,58,39,58,2
6/18/2019 7:11:09,0,4.01,2,1,Left,59,39,59,16
6/18/2019 7:11:55,0,4.00,2,1,Left,60,39,60,13
6/18/2019 7:12:43,0,4.00,4,1,Left,61,39,61,17
6/18/2019 8:26:10,0,4.01,2,1,Left,62,39,62,18
6/18/2019 8:28:45,0,4.00,2,1,Left,63,39,63,123
6/18/2019 8:29:37,0,4.00,2,1,Left,64,39,64,12
6/18/2019 9:10:02,0,4.00,2,1,Left,65,39,65,32
6/18/2019 9:11:13,0,4.00,1,1,Left,66,39,66,55
6/18/2019 9:16:01,0,4.00,1,1,Left,67,39,67,2
6/18/2019 9:16:25,0,4.00,1,1,Left,68,39,68,3
6/18/2019 9:17:02,0,4.00,2,1,Left,69,39,69,9
6/18/2019 10:11:52,0,4.00,1,1,Left,70,39,70,3240
