MM:DD:YYYY hh:mm:ss,Library_Version,Session_Type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time,Elapsed_Time,Binary_Pellets,Interpellet_Intervals,Binary_Left_Pokes,Binary_Right_Pokes,Correct_Poke,Concat_#,Mode
2022-05-24 18:49:29,1.12.0,FR1_4s_delay,4,4.01,,1,Poke,Left,1,0,0,0,,,0.12,0 days 00:00:00.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 18:53:33,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,1,0,1,0,,,,0 days 00:04:04.000000000,1.0,,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:33:26,1.12.0,FR1_4s_delay,4,4.01,,1,Poke,Left,1,1,1,0,,,0.3,0 days 00:43:57.000000000,0.0,,0.0,1.0,0.0,0,FR1_4s_delay
2022-05-24 19:33:39,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,2,1,1,0,,,0.01,0 days 00:44:10.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:33:48,1.12.0,FR1_4s_delay,4,4.01,2.0,1,Pellet,Left,2,1,2,0,2.08,2416.0,,0 days 00:44:19.000000000,1.0,40.25,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:34:29,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,3,1,2,0,,,0.27,0 days 00:45:00.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:34:34,1.12.0,FR1_4s_delay,4,4.01,2.0,1,Pellet,Left,3,1,3,0,0.06,46.0,,0 days 00:45:05.000000000,1.0,0.7666666666666667,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:35:04,1.12.0,FR1_4s_delay,4,4.01,,1,Poke,Left,4,1,3,0,,,0.27,0 days 00:45:35.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:35:09,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,4,1,4,0,0.18,35.0,,0 days 00:45:40.000000000,1.0,0.5833333333333334,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:40:04,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,5,1,4,0,,,0.08,0 days 00:50:35.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:40:09,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,5,1,5,0,0.24,300.0,,0 days 00:50:40.000000000,1.0,5.0,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:40:44,1.12.0,FR1_4s_delay,4,4.01,,1,Poke,Left,6,1,5,0,,,0.3,0 days 00:51:15.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:40:49,1.12.0,FR1_4s_delay,4,4.0,2.0,1,Pellet,Left,6,1,6,0,0.06,40.0,,0 days 00:51:20.000000000,1.0,0.6666666666666666,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:41:19,1.12.0,FR1_4s_delay,4,4.01,,1,Poke,Left,6,2,6,0,,,0.02,0 days 00:51:50.000000000,0.0,,0.0,1.0,0.0,0,FR1_4s_delay
2022-05-24 19:41:23,1.12.0,FR1_4s_delay,4,4.01,,1,Poke,Left,7,2,6,0,,,0.4,0 days 00:51:54.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:41:28,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,7,2,7,0,0.06,39.0,,0 days 00:51:59.000000000,1.0,0.65,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:41:51,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,8,2,7,0,,,0.13,0 days 00:52:22.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:41:56,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,8,2,8,0,0.42,28.0,,0 days 00:52:27.000000000,1.0,0.4666666666666667,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:42:27,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,9,2,8,0,,,0.33,0 days 00:52:58.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:42:40,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,9,2,9,0,7.67,44.0,,0 days 00:53:11.000000000,1.0,0.7333333333333333,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:43:03,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,10,2,9,0,,,0.53,0 days 00:53:34.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:43:27,1.12.0,FR1_4s_delay,4,4.01,2.0,1,Pellet,Left,10,2,10,0,16.84,47.0,,0 days 00:53:58.000000000,1.0,0.7833333333333333,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:52:30,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,11,2,10,0,,,0.06,0 days 01:03:01.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:52:36,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,11,2,11,0,0.49,548.0,,0 days 01:03:07.000000000,1.0,9.15,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:53:11,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,12,2,11,0,,,0.15,0 days 01:03:42.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:53:16,1.12.0,FR1_4s_delay,4,4.0,2.0,1,Pellet,Left,12,2,12,0,0.06,41.0,,0 days 01:03:47.000000000,1.0,0.6666666666666666,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:53:47,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,13,2,12,0,,,0.0,0 days 01:04:18.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:54:03,1.12.0,FR1_4s_delay,4,4.0,2.0,1,Pellet,Left,13,2,13,0,9.77,47.0,,0 days 01:04:34.000000000,1.0,0.7833333333333333,0.0,0.0,,0,FR1_4s_delay
2022-05-24 19:54:39,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,14,2,13,0,,,0.84,0 days 01:05:10.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 19:55:02,1.12.0,FR1_4s_delay,4,4.0,2.0,1,Pellet,Left,14,2,14,0,15.67,59.0,,0 days 01:05:33.000000000,1.0,0.9833333333333333,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:04:33,1.12.0,FR1_4s_delay,4,4.01,,1,Poke,Left,15,2,14,0,,,0.8,0 days 01:15:04.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:04:38,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,15,2,15,0,0.24,576.0,,0 days 01:15:09.000000000,1.0,9.6,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:05:10,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,16,2,15,0,,,0.05,0 days 01:15:41.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:05:16,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,16,2,16,0,1.53,38.0,,0 days 01:15:47.000000000,1.0,0.6333333333333333,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:06:14,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,17,2,16,0,,,0.18,0 days 01:16:45.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:06:37,1.12.0,FR1_4s_delay,4,4.0,2.0,1,Pellet,Left,17,2,17,0,16.11,81.0,,0 days 01:17:08.000000000,1.0,1.35,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:17:59,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,18,2,17,0,,,0.52,0 days 01:28:30.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:18:07,1.12.0,FR1_4s_delay,4,4.0,2.0,1,Pellet,Left,18,2,18,0,0.61,689.0,,0 days 01:28:38.000000000,1.0,11.5,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:18:34,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,19,2,18,0,,,0.15,0 days 01:29:05.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:18:40,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,19,2,19,0,0.3,33.0,,0 days 01:29:11.000000000,1.0,0.55,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:19:05,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,20,2,19,0,,,0.39,0 days 01:29:36.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:19:10,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,20,2,20,0,0.24,31.0,,0 days 01:29:41.000000000,1.0,0.5,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:19:34,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,21,2,20,0,,,0.08,0 days 01:30:05.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:19:39,1.12.0,FR1_4s_delay,4,4.0,1.0,1,Pellet,Left,21,2,21,0,0.18,29.0,,0 days 01:30:10.000000000,1.0,0.48333333333333334,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:20:10,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,22,2,21,0,,,0.08,0 days 01:30:41.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:20:15,1.12.0,FR1_4s_delay,4,4.01,1.0,1,Pellet,Left,22,2,22,0,0.42,36.0,,0 days 01:30:46.000000000,1.0,0.6,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:20:44,1.12.0,FR1_4s_delay,4,4.0,,1,Poke,Left,23,2,22,0,,,0.08,0 days 01:31:15.000000000,0.0,,1.0,0.0,1.0,0,FR1_4s_delay
2022-05-24 20:21:05,1.12.0,FR1_4s_delay,4,4.01,2.0,1,Pellet,Left,23,2,23,0,14.03,50.0,,0 days 01:31:36.000000000,1.0,0.8333333333333334,0.0,0.0,,0,FR1_4s_delay
2022-05-24 20:30:11,1.12.0,FR1_4s_delay,4,4.01,,1,Poke,Left,23,3,23,0,,,0.03,0 days 01:40:42.000000000,0.0,,0.0,1.0,0.0,0,FR1_4s_delay
