MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, FR_Ratio, Active_Poke, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
6/17/2019 21:48:00,0,4.08,1,1,Left,1,1,1,1127
6/17/2019 21:49:08,0,4.07,1,1,Left,2,1,2,29
6/17/2019 21:51:29,0,4.08,1,1,Left,3,3,3,5
6/17/2019 21:55:23,0,4.07,1,1,Left,4,4,4,28
6/17/2019 22:11:28,0,4.07,1,1,Left,5,4,5,4
6/17/2019 22:37:16,0,4.07,1,1,Left,6,7,6,73
6/17/2019 22:47:43,0,4.07,4,1,Left,7,16,7,20
6/17/2019 22:52:57,0,4.07,2,1,Left,8,18,8,64
6/17/2019 23:13:52,0,4.07,2,1,Left,9,26,9,2
6/17/2019 23:15:40,0,4.07,1,1,Left,10,28,10,15
6/17/2019 23:18:14,0,4.07,1,1,Left,11,29,11,26
6/17/2019 23:21:11,0,4.07,2,1,Left,12,29,12,23
6/17/2019 23:22:22,0,4.07,1,1,Left,13,30,13,8
6/17/2019 23:25:59,0,4.07,1,1,Left,14,30,14,133
6/17/2019 23:41:39,0,4.07,1,1,Left,15,35,15,3
6/17/2019 23:50:08,0,4.07,1,1,Left,16,35,16,45
6/17/2019 23:52:59,0,4.07,1,1,Left,17,35,17,142
6/18/2019 0:01:40,0,4.07,1,1,Left,18,36,18,22
6/18/2019 0:02:42,0,4.07,1,1,Left,19,36,19,38
6/18/2019 0:13:02,0,4.07,1,1,Left,20,36,20,11
6/18/2019 0:17:58,0,4.07,1,1,Left,21,36,21,1
6/18/2019 0:27:44,0,4.06,1,1,Left,22,40,22,41
6/18/2019 1:22:05,0,4.06,1,1,Left,23,40,23,2483
6/18/2019 1:33:41,0,4.06,2,1,Left,24,40,24,10
6/18/2019 1:42:42,0,4.06,2,1,Left,25,40,25,316
6/18/2019 2:03:22,0,4.05,1,1,Left,26,40,26,103
6/18/2019 2:07:29,0,4.06,1,1,Left,27,42,27,193
6/18/2019 2:08:20,0,4.05,1,1,Left,28,42,28,31
6/18/2019 2:13:37,0,4.06,1,1,Left,29,42,29,5
6/18/2019 3:54:07,0,4.05,1,1,Left,30,42,30,42
6/18/2019 3:57:05,0,4.06,1,1,Left,31,42,31,12
6/18/2019 3:58:51,0,4.05,1,1,Left,32,42,32,4
6/18/2019 3:59:56,0,4.05,1,1,Left,33,42,33,2
6/18/2019 4:03:38,0,4.05,2,1,Left,34,42,34,3
6/18/2019 4:15:53,0,4.05,2,1,Left,35,42,35,24
6/18/2019 4:19:40,0,4.05,2,1,Left,36,42,36,41
6/18/2019 5:12:24,0,4.05,6,1,Left,37,43,37,18
6/18/2019 5:18:44,0,4.05,20,1,Left,38,43,38,128
6/18/2019 5:32:14,0,4.05,3,1,Left,39,44,39,96
6/18/2019 5:35:50,0,4.04,44,1,Left,40,44,40,3
6/18/2019 6:37:24,0,4.03,563,1,Left,43,45,41,114
6/18/2019 9:24:02,0,3.92,2068,1,Left,48,46,42,13
6/18/2019 9:28:01,0,3.91,22,1,Left,49,48,43,1
6/18/2019 10:52:57,0,3.93,1,1,Left,50,49,44,4544
